Region,LifeForm,TaxonName,PresentStatus,FirstRecord
Spain,Insects,Acizzia jamatonica,alien,2006
Portugal,Birds,Acridotheres cristatellus,established,2007
Portugal,Birds,Acridotheres ginginianus,casual,2010
Spain,Insects,Aedes japonicus,established,2019
Portugal,Birds,Agapornis fischeri,alien,2008
Spain,Birds,Agapornis nigrigenis,alien,2006
Spain,Birds,Amazona albifrons,alien,2007
Portugal,Birds,Amazona amazonica,alien,2012
Spain,Birds,Amazona farinosa,alien,2007
Portugal,Birds,Amazona ochrocephala,alien,2007
Spain,Birds,Amazonetta brasiliensis,alien,2007
Portugal,Birds,Anas flavirostris,alien,2010
Azores,Insects,Anoplolepis gracilipes,established,2012
Portugal,Birds,Anser cygnoides,alien,2008
Spain,Reptiles,Apalone ferox,alien,2018
Spain,Insects,Aphis illinoisensis,established,2011
Spain,"Invertebrates (excl. Arthropods, Molluscs)",Aplidium accarense,alien,2012
Portugal,Birds,Aratinga jandaya,alien,2009
Spain,Birds,Aratinga jandaya,alien,2008
Spain,Birds,Aratinga leucophthalma,casual,2007
Madeira,Insects,Atheta mucronata,alien,2006
Canary Islands,Vascular plants,Atriplex semilunaris,,2008
Portugal,Vascular plants,Axonopus fissifolius,,2007
Spain,Vascular plants,Axonopus fissifolius,,2008
Spain,Fishes,Balistoides conspicillum,,2012
Spain,"Invertebrates (excl. Arthropods, Molluscs)",Barbronia weberi,established,2011
Azores,Insects,Belonochilus numenius,established,2010
Spain,Insects,Belonochilus numenius,established,2008
Spain,Insects,Bemisia tabaci,alien,2006
Portugal,Insects,Blastopsylla occidentalis,alien,2011
Spain,Insects,Blastopsylla occidentalis,established,2009
Azores,Vascular plants,Blechnum occidentale,established,2017
Portugal,Crustaceans,Bosmina coregoni,established,2014
Spain,Crustaceans,Bosmina coregoni,established,2014
Azores,Insects,Brachymyrmex heeri,established,2014
Spain,Insects,Brachymyrmex patagonicus,established,2016
Portugal,"Invertebrates (excl. Arthropods, Molluscs)",Branchiomma bairdi,,2013
Spain,"Invertebrates (excl. Arthropods, Molluscs)",Branchiomma bairdi,established,2006
Portugal,Birds,Branta canadensis,established,2008
Madeira,"Invertebrates (excl. Arthropods, Molluscs)",Bursaphelenchus xylophilus,established,2009
Spain,"Invertebrates (excl. Arthropods, Molluscs)",Bursaphelenchus xylophilus,established,2008
Spain,Birds,Bycanistes brevis,casual,2008
Spain,Birds,Caloenas nicobarica,casual,2008
Madeira,Insects,Camponotus compressus,established,2012
Portugal,Crustaceans,Caprella scaura,alien,2015
Spain,Crustaceans,Caprella scaura,alien,2009
Spain,Birds,Caracara plancus,casual,2010
Portugal,Fishes,Carassius gibelio,established,2009
Spain,Fishes,Carassius gibelio,established,2009
Spain,Insects,Cardiocondyla obscurior,established,2015
Spain,Insects,Ceratitis capitata,established,2006
Spain,Birds,Cereopsis novaehollandiae,alien,2008
Portugal,Birds,Chenonetta jubata,alien,2013
Portugal,Birds,Chloephaga picta,casual,2008
Spain,Algae,Chrysonephos lewisii,alien,2022
Portugal,Insects,Chrysonotomyia chamaeleon,established,2009
Spain,Insects,Chrysonotomyia chamaeleon,established,2008
Spain,Birds,Columbina talpacoti,casual,2013
Portugal,Birds,Corvus albus,alien,2015
Portugal,Crustaceans,Crangonyx pseudogracilis,established,2011
Spain,Crustaceans,Crangonyx pseudogracilis,established,2011
Spain,Vascular plants,Crassula helmsii,alien,2023
Portugal,Birds,Cygnus melancoryphus,alien,2014
Spain,Insects,Delottococcus aberiae,alien,2009
Canary Islands,"Invertebrates (excl. Arthropods, Molluscs)",Diadema antillarum,alien,2006
Spain,Insects,Drepanaphis acerifoliae,established,2006
Portugal,Insects,Drosophila suzukii,,2012
Spain,Insects,Drosophila suzukii,alien,2008
Portugal,Insects,Dryocosmus kuriphilus,alien,2014
Spain,Insects,Dryocosmus kuriphilus,alien,2012
Spain,Amphibians,Duttaphrynus melanostictus  ,casual,2012
Portugal,Crustaceans,Dyspanopeus sayi,alien,2018
Spain,Birds,Elanoides forficatus,casual,2010
Spain,Molluscs,Ensis leei,alien,2011
Spain,Birds,Eos squamata,casual,2006
Portugal,Insects,Epichrysocharis burwelli,alien,2015
Madeira,Insects,Epidiplosis filifera,established,2008
Spain,Insects,Epitrix similaris,established,2009
Andorra,Vascular plants,Equisetum palustre,established,2017
Spain,"Invertebrates (excl. Arthropods, Molluscs)",Eucheilota menoni,alien,2007
Portugal,Birds,Euplectes macroura,alien,2006
Spain,Birds,Eupsittula pertinax,alien,2011
Spain,Crustaceans,Faxonius limosus,established,2010
Portugal,Molluscs,Ferrissia californica,alien,2007
Spain,Birds,Geranoaetus melanoleucus,alien,2009
Spain,Birds,Geranoaetus polyosoma,alien,2006
Canary Islands,Insects,Glycaspis brimblecombei,alien,2010
Portugal,Insects,Glycaspis brimblecombei,alien,2008
Spain,Insects,Glycaspis brimblecombei,established,2007
Spain,Fishes,Gobio occitaniae,established,2013
Portugal,Reptiles,Graptemys pseudogeographica,established,2013
Spain,Birds,Grus canadensis,casual,2011
Spain,Birds,Haemorhous mexicanus,casual,2016
Portugal,Birds,Haliaeetus leucocephalus,casual,2018
Spain,Birds,Haliaeetus leucocephalus,casual,2008
Spain,Algae,Halimeda incrassata,alien,2011
Spain,Crustaceans,Hemicypris barbadensis,established,2014
Spain,Crustaceans,Hemicypris reticulata,established,2018
Portugal,Insects,Hercinothrips dimidiatus,,2014
Spain,Vascular plants,Hydrocharis laevigata,alien,2018
Spain,Insects,Hypoponera ergatandria,established,2013
Portugal,Fishes,Ictalurus punctatus,established,2012
Spain,Fishes,Lagocephalus sceleratus,,2014
Andorra,Insects,Lasius neglectus,established,2012
Portugal,Insects,Lasius neglectus,established,2012
Canary Islands,Insects,Lepisiota capensis,established,2014
Portugal,Insects,Leptoglossus occidentalis,alien,2010
Spain,Fishes,Leuciscus aspius,established,2017
Canary Islands,Insects,Lobiopa insularis,alien,2008
Portugal,Birds,Lonchura oryzivora,alien,2010
Spain,Birds,Lorius chlorocercus,alien,2014
Spain,Reptiles,Macrochelys temminckii,alien,2011
Spain,Insects,Macrohomotoma gladiata,,2009
Portugal,"Invertebrates (excl. Arthropods, Molluscs)",Maeotias marginata,alien,2009
Spain,"Invertebrates (excl. Arthropods, Molluscs)",Maeotias marginata,established,2012
Spain,Molluscs,Marginella glabella,,2009
Spain,Molluscs,Marisa cornuarietis,established,2014
Portugal,Crustaceans,Megabalanus tintinnabulum,,2016
Madeira,Vascular plants,Microlepia platyphylla,established,2017
Spain,Birds,Mimus gilvus,alien,2012
Spain,"Invertebrates (excl. Arthropods, Molluscs)",Mnemiopsis leidyi,established,2009
Spain,Birds,Musophaga violacea,alien,2011
Spain,Birds,Neophema pulchella,alien,2008
Canary Islands,Insects,Neotoxoptera formosana,established,2010
Portugal,Birds,Netta peposaca,casual,2013
Portugal,Insects,Obolodiplosis robiniae,alien,2011
Spain,Insects,Obolodiplosis robiniae,alien,2008
Spain,Amphibians,Ommatotriton ophryticus,alien,2011
Portugal,Insects,Ophelimus maskelli,alien,2006
Spain,Molluscs,Orientogalba viridis,established,2015
Portugal,Crustaceans,Palaemon macrodactylus,established,2008
Spain,Crustaceans,Palaemon macrodactylus,established,2008
Spain,Crustaceans,Paracaprella pusilla,,2010
