file,rows,GEO,BOTH,GEO_or_BOTH,overlap_with_ref,missing_from_ref,ref_missing,jaccard
ENRICHED_Aplus_TRUEonly(1).csv,528,262,43,305,305,0,0,1.0
ENRICHED_Aplus_TRUEonly(2).csv,528,262,43,305,305,0,0,1.0
ENRICHED_Aplus_TRUEonly.csv,528,262,43,305,305,0,0,1.0
ENRICHED_Aplus_label_pruned(1).csv,2945,262,43,305,305,0,0,1.0
ENRICHED_Aplus_label_pruned(2).csv,2945,262,43,305,305,0,0,1.0
ENRICHED_Aplus_label_pruned.csv,2945,262,43,305,305,0,0,1.0
ENRICHED_filtered_included_only_NEW_ES_PT_regioncode_scientific_common_relaxed.csv,1763,289,16,305,305,0,0,1.0
ENRICHED_final_relaxed_with_is_iberian.csv,1763,289,16,305,305,0,0,1.0
ENRICHED_geo_union_bestREG(1).csv,3153,264,41,305,305,0,0,1.0
ENRICHED_geo_union_bestREG(2).csv,3153,264,41,305,305,0,0,1.0
ENRICHED_geo_union_bestREG.csv,3153,264,41,305,305,0,0,1.0
ENRICHED_geo_union_bestREG_COMMON.csv,3153,264,41,305,305,0,0,1.0
ENRICHED_geo_union_bestREG_clean.csv,4713,237,68,305,305,0,0,1.0
ENRICHED_guardrails.csv,378,262,43,305,305,0,0,1.0
ENRICHED_guardrails_STRICT.csv,329,291,14,305,305,0,0,1.0
ENRICHED_label_pruned(1).csv,3201,262,43,305,305,0,0,1.0
ENRICHED_label_pruned(2).csv,3201,262,43,305,305,0,0,1.0
ENRICHED_label_pruned.csv,3201,262,43,305,305,0,0,1.0
ENRICHED_union_of_top3.csv,305,196,109,305,305,0,0,1.0
combined_data_common_NEW_ES_PT_ENRICHED_deduped_cleancols(1).csv,1763,289,16,305,305,0,0,1.0
combined_data_common_NEW_ES_PT_ENRICHED_deduped_cleancols(2).csv,1763,289,16,305,305,0,0,1.0
combined_data_common_NEW_ES_PT_ENRICHED_deduped_cleancols.csv,1763,289,16,305,305,0,0,1.0
ENRICHED_AFTER(1).csv,602,75,9,84,84,0,221,0.2754098360655738
ENRICHED_AFTER.csv,602,75,9,84,84,0,221,0.2754098360655738
ENRICHED_BEFORE(1).csv,46,0,0,0,0,0,305,0.0
ENRICHED_BEFORE.csv,46,0,0,0,0,0,305,0.0
