file,rows,unique_ids,vid_col,source_col,GEO,REG,BOTH,other_top
ENRICHED_guardrails_STRICT.csv,329,329,video_id,source_flag,291,24,14,"{'GEO': 291, 'REG': 24, 'BOTH': 14}"
ENRICHED_filtered_included_only_NEW_ES_PT_regioncode_scientific_common_relaxed.csv,1763,1763,video_id,source_flag,289,1458,16,"{'REG': 1458, 'GEO': 289, 'BOTH': 16}"
ENRICHED_final_relaxed_with_is_iberian.csv,1763,1763,video_id,source_flag,289,1458,16,"{'REG': 1458, 'GEO': 289, 'BOTH': 16}"
combined_data_common_NEW_ES_PT_ENRICHED_deduped_cleancols(1).csv,1763,1763,video_id,source_flag,289,1458,16,"{'REG': 1458, 'GEO': 289, 'BOTH': 16}"
combined_data_common_NEW_ES_PT_ENRICHED_deduped_cleancols(2).csv,1763,1763,video_id,source_flag,289,1458,16,"{'REG': 1458, 'GEO': 289, 'BOTH': 16}"
combined_data_common_NEW_ES_PT_ENRICHED_deduped_cleancols.csv,1763,1763,video_id,source_flag,289,1458,16,"{'REG': 1458, 'GEO': 289, 'BOTH': 16}"
ENRICHED_geo_union_bestREG(1).csv,3153,3153,video_id,source_flag,264,2848,41,"{'REG': 2848, 'GEO': 264, 'BOTH': 41}"
ENRICHED_geo_union_bestREG(2).csv,3153,3153,video_id,source_flag,264,2848,41,"{'REG': 2848, 'GEO': 264, 'BOTH': 41}"
ENRICHED_geo_union_bestREG.csv,3153,3153,video_id,source_flag,264,2848,41,"{'REG': 2848, 'GEO': 264, 'BOTH': 41}"
ENRICHED_geo_union_bestREG_COMMON.csv,3153,3153,video_id,source_flag,264,2848,41,"{'REG': 2848, 'GEO': 264, 'BOTH': 41}"
ENRICHED_label_pruned(1).csv,3201,3201,video_id,source_flag,262,2896,43,"{'REG': 2896, 'GEO': 262, 'BOTH': 43}"
ENRICHED_label_pruned(2).csv,3201,3201,video_id,source_flag,262,2896,43,"{'REG': 2896, 'GEO': 262, 'BOTH': 43}"
ENRICHED_label_pruned.csv,3201,3201,video_id,source_flag,262,2896,43,"{'REG': 2896, 'GEO': 262, 'BOTH': 43}"
ENRICHED_Aplus_label_pruned(1).csv,2945,2945,video_id,source_flag,262,2640,43,"{'REG': 2640, 'GEO': 262, 'BOTH': 43}"
ENRICHED_Aplus_label_pruned(2).csv,2945,2945,video_id,source_flag,262,2640,43,"{'REG': 2640, 'GEO': 262, 'BOTH': 43}"
ENRICHED_Aplus_label_pruned.csv,2945,2945,video_id,source_flag,262,2640,43,"{'REG': 2640, 'GEO': 262, 'BOTH': 43}"
ENRICHED_Aplus_TRUEonly(1).csv,528,528,video_id,source_flag,262,223,43,"{'GEO': 262, 'REG': 223, 'BOTH': 43}"
ENRICHED_Aplus_TRUEonly(2).csv,528,528,video_id,source_flag,262,223,43,"{'GEO': 262, 'REG': 223, 'BOTH': 43}"
ENRICHED_Aplus_TRUEonly.csv,528,528,video_id,source_flag,262,223,43,"{'GEO': 262, 'REG': 223, 'BOTH': 43}"
ENRICHED_guardrails.csv,378,378,video_id,source_flag,262,73,43,"{'GEO': 262, 'REG': 73, 'BOTH': 43}"
ENRICHED_geo_union_bestREG_clean.csv,4713,4713,video_id,source_flag,237,4408,68,"{'REG': 4408, 'GEO': 237, 'BOTH': 68}"
ENRICHED_union_of_top3.csv,305,305,video_id,source_flag,196,0,109,"{'GEO': 196, 'BOTH': 109}"
ENRICHED_AFTER(1).csv,602,602,video_id,source_flag,75,518,9,"{'REG': 518, 'GEO': 75, 'BOTH': 9}"
ENRICHED_AFTER.csv,602,602,video_id,source_flag,75,518,9,"{'REG': 518, 'GEO': 75, 'BOTH': 9}"
dataset_comparison_summary.csv,63,3,video_col,counts_source_flag,0,0,0,"{'nan': 42, ""{'REG': 12}"": 3, ""{'REG': 1458, 'GEO': 289, 'BOTH': 16}"": 2, ""{'REG': 2640, 'GEO': 262, 'BOTH': 43}"": 2, ""{'REG': 518, 'GEO': 75, 'BOTH': 9}"": 2}"
dataset_comparison_summary.csv,63,3,video_col,counts_source_flag_raw,0,0,0,"{'nan': 62, ""{'REG': 12}"": 1}"
ENRICHED_BEFORE(1).csv,46,46,video_id,source_flag,0,46,0,{'REG': 46}
ENRICHED_BEFORE.csv,46,46,video_id,source_flag,0,46,0,{'REG': 46}
