video_id,TaxonName,LifeForm,PresentStatus,word,category,time_period,created_at
6DZ_PN9StbY,Acridotheres cristatellus,Birds,established,visto,Detection,Post-Introduction,2024-01-12T21:35:06Z
cXOEJRKUSYA,Aedes aegypti,Insects,established,transmisor,Threat,Post-Introduction,2020-10-10T09:21:26Z
cXOEJRKUSYA,Aedes aegypti,Insects,established,alerta,Detection,Post-Introduction,2020-10-10T09:21:26Z
cXOEJRKUSYA,Aedes aegypti,Insects,established,controlar,Detection,Post-Introduction,2020-10-10T09:21:26Z
cXOEJRKUSYA,Aedes aegypti,Insects,established,propagando,Invasion,Post-Introduction,2020-10-10T09:21:26Z
cXOEJRKUSYA,Aedes aegypti,Insects,established,deteccion,Detection,Post-Introduction,2020-10-10T09:21:26Z
6MMkZX7CjNU,Aedes aegypti,Insects,established,armadilhas,Detection,Post-Introduction,2018-04-09T19:44:26Z
6MMkZX7CjNU,Aedes aegypti,Insects,established,pragas,Invasion,Post-Introduction,2018-04-09T19:44:26Z
jplPCvooj30,Agapornis fischeri,Birds,alien,visto,Detection,Post-Introduction,2025-09-25T23:37:11Z
J_v3RGXBkoU,Agapornis fischeri,Birds,alien,precio,eCommerce,Post-Introduction,2022-04-29T20:31:29Z
J_v3RGXBkoU,Agapornis fischeri,Birds,alien,compre,eCommerce,Post-Introduction,2021-11-07T04:48:25Z
J_v3RGXBkoU,Agapornis fischeri,Birds,alien,adoptar,eCommerce,Post-Introduction,2020-12-18T09:10:00Z
J_v3RGXBkoU,Agapornis fischeri,Birds,alien,visto,Detection,Post-Introduction,2020-12-18T09:10:00Z
J_v3RGXBkoU,Agapornis fischeri,Birds,alien,cara,eCommerce,Post-Introduction,2020-10-03T17:59:25Z
J_v3RGXBkoU,Agapornis fischeri,Birds,alien,precios,eCommerce,Post-Introduction,2020-10-03T13:34:26Z
J_v3RGXBkoU,Agapornis fischeri,Birds,alien,reciente,Detection,Post-Introduction,2020-10-03T21:44:16Z
6i3EdHZpNek,Agapornis fischeri,Birds,alien,encontre,Detection,Post-Introduction,2022-03-07T05:22:48Z
rKIDF7bx7hc,Agapornis nigrigenis,Birds,alien,hibridacion,Threat,Post-Introduction,2020-04-11T11:05:09Z
rKIDF7bx7hc,Agapornis nigrigenis,Birds,alien,vender,eCommerce,Post-Introduction,2020-03-04T16:22:32Z
rKIDF7bx7hc,Agapornis nigrigenis,Birds,alien,pajareria,eCommerce,Post-Introduction,2020-03-04T16:22:32Z
rKIDF7bx7hc,Agapornis nigrigenis,Birds,alien,controlar,Detection,Post-Introduction,2020-02-01T23:24:55Z
THFcmMTenUk,Agapornis nigrigenis,Birds,alien,toxica,Threat,Post-Introduction,2019-10-17T22:42:29Z
THFcmMTenUk,Agapornis nigrigenis,Birds,alien,peligrosa,Threat,Post-Introduction,2019-10-17T22:42:29Z
4gE7tKfYfaQ,Agapornis nigrigenis,Birds,alien,compre,eCommerce,Post-Introduction,2019-04-08T19:34:01Z
4gE7tKfYfaQ,Agapornis nigrigenis,Birds,alien,jaula,eCommerce,Post-Introduction,2018-03-12T15:21:02Z
4gE7tKfYfaQ,Agapornis nigrigenis,Birds,alien,tienda,eCommerce,Post-Introduction,2019-04-09T08:39:08Z
4gE7tKfYfaQ,Agapornis nigrigenis,Birds,alien,jaula,eCommerce,Post-Introduction,2019-04-09T08:39:08Z
wNyrBfCj394,Agapornis nigrigenis,Birds,alien,comprar,eCommerce,Post-Introduction,2021-06-10T20:55:57Z
wNyrBfCj394,Agapornis nigrigenis,Birds,alien,cara,eCommerce,Post-Introduction,2021-06-10T17:47:57Z
iBHbkPVSn0k,Amazona albifrons,Birds,alien,enjaulado,eCommerce,Post-Introduction,2024-04-23T07:08:08Z
r4v6tf7xwRE,Amazona amazonica,Birds,alien,encontre,Detection,Post-Introduction,2021-10-06T18:32:13Z
r4v6tf7xwRE,Amazona amazonica,Birds,alien,vender,eCommerce,Post-Introduction,2017-05-01T02:42:07Z
r4v6tf7xwRE,Amazona amazonica,Birds,alien,jaula,eCommerce,Post-Introduction,2019-11-30T11:04:30Z
A4HbcYJUPR8,Amazona ochrocephala,Birds,alien,precio,eCommerce,Post-Introduction,2025-09-24T19:02:44Z
s8RnxajPQdA,Anser cygnoides,Birds,alien,vender,eCommerce,Post-Introduction,2020-12-18T22:51:35Z
s8RnxajPQdA,Anser cygnoides,Birds,alien,comprar,eCommerce,Post-Introduction,2020-12-15T04:00:39Z
s8RnxajPQdA,Anser cygnoides,Birds,alien,vender,eCommerce,Post-Introduction,2020-12-15T04:00:39Z
07VQgsoyWuo,Anser cygnoides,Birds,alien,vender,eCommerce,Post-Introduction,2025-10-05T00:37:30Z
kZ0L36LaReQ,Apalone ferox,Herptiles,alien,acuarios,eCommerce,Post-Introduction,2020-09-26T05:40:28Z
kZ0L36LaReQ,Apalone ferox,Herptiles,alien,prohibido,eCommerce,Pre-Introduction,2017-06-27T12:01:34Z
kZ0L36LaReQ,Apalone ferox,Herptiles,alien,atacando,Threat,Pre-Introduction,2015-03-16T11:58:04Z
kZ0L36LaReQ,Apalone ferox,Herptiles,alien,compre,eCommerce,Pre-Introduction,2013-04-17T14:21:24Z
kZ0L36LaReQ,Apalone ferox,Herptiles,alien,compre,eCommerce,Pre-Introduction,2017-07-06T04:49:41Z
kZ0L36LaReQ,Apalone ferox,Herptiles,alien,acuarios,eCommerce,Pre-Introduction,2017-06-27T14:04:31Z
4hYp55iG6x0,Apalone ferox,Herptiles,alien,acuario,eCommerce,Post-Introduction,2021-03-24T22:00:30Z
4hYp55iG6x0,Apalone ferox,Herptiles,alien,compre,eCommerce,Pre-Introduction,2013-08-21T01:53:23Z
4hYp55iG6x0,Apalone ferox,Herptiles,alien,caro,eCommerce,Pre-Introduction,2013-08-21T01:53:23Z
4hYp55iG6x0,Apalone ferox,Herptiles,alien,pecera,eCommerce,Pre-Introduction,2013-08-18T04:52:16Z
4hYp55iG6x0,Apalone ferox,Herptiles,alien,compre,eCommerce,Pre-Introduction,2013-07-04T02:29:38Z
4hYp55iG6x0,Apalone ferox,Herptiles,alien,acuario,eCommerce,Pre-Introduction,2013-07-04T02:29:38Z
4hYp55iG6x0,Apalone ferox,Herptiles,alien,acuarios,eCommerce,Pre-Introduction,2013-07-04T02:29:38Z
LyTlWBXKtRw,Apalone ferox,Herptiles,alien,peceras,eCommerce,Pre-Introduction,2013-09-28T04:55:16Z
LyTlWBXKtRw,Apalone ferox,Herptiles,alien,pecera,eCommerce,Pre-Introduction,2013-09-08T01:29:03Z
LyTlWBXKtRw,Apalone ferox,Herptiles,alien,compre,eCommerce,Pre-Introduction,2013-08-31T05:55:19Z
LyTlWBXKtRw,Apalone ferox,Herptiles,alien,acuario,eCommerce,Pre-Introduction,2013-08-31T05:55:19Z
LyTlWBXKtRw,Apalone ferox,Herptiles,alien,comprar,eCommerce,Pre-Introduction,2013-04-26T03:31:49Z
OWTqm3Mu9wE,Apalone ferox,Herptiles,alien,acuario,eCommerce,Post-Introduction,2018-10-31T01:24:40Z
OWTqm3Mu9wE,Apalone ferox,Herptiles,alien,manejo,Detection,Post-Introduction,2019-06-02T21:22:56Z
3xykat9Ikck,Apalone ferox,Herptiles,alien,pecera,eCommerce,Post-Introduction,2020-12-29T06:25:44Z
3xykat9Ikck,Apalone ferox,Herptiles,alien,pecera,eCommerce,Pre-Introduction,2016-08-19T02:42:34Z
3xykat9Ikck,Apalone ferox,Herptiles,alien,acuario,eCommerce,Pre-Introduction,2015-11-20T17:22:15Z
3xykat9Ikck,Apalone ferox,Herptiles,alien,acuario,eCommerce,Pre-Introduction,2015-04-09T20:50:58Z
3xykat9Ikck,Apalone ferox,Herptiles,alien,acuario,eCommerce,Pre-Introduction,2015-04-09T17:33:05Z
3xykat9Ikck,Apalone ferox,Herptiles,alien,acuario,eCommerce,Pre-Introduction,2015-04-09T12:50:30Z
3xykat9Ikck,Apalone ferox,Herptiles,alien,peligrosa,Threat,Pre-Introduction,2015-04-09T17:38:17Z
3sSlaZn9v7s,Apalone ferox,Herptiles,alien,acuarios,eCommerce,Pre-Introduction,2015-05-17T23:08:18Z
1SW4I5oAbrY,Aratinga jandaya,Birds,alien,gaiola,eCommerce,Post-Introduction,2022-02-07T00:03:07Z
1SW4I5oAbrY,Aratinga jandaya,Birds,alien,vender,eCommerce,Post-Introduction,2022-01-27T02:06:49Z
1SW4I5oAbrY,Aratinga jandaya,Birds,alien,comprar,eCommerce,Post-Introduction,2020-07-22T16:09:57Z
1SW4I5oAbrY,Aratinga jandaya,Birds,alien,gaiola,eCommerce,Post-Introduction,2019-04-15T17:26:19Z
1SW4I5oAbrY,Aratinga jandaya,Birds,alien,loja,eCommerce,Post-Introduction,2018-12-03T21:19:05Z
1SW4I5oAbrY,Aratinga jandaya,Birds,alien,loja,eCommerce,Post-Introduction,2018-12-03T09:19:27Z
1SW4I5oAbrY,Aratinga jandaya,Birds,alien,preco,eCommerce,Post-Introduction,2018-12-03T09:19:27Z
