video_id,TaxonName,LifeForm,PresentStatus,word,category,time_period,created_at
u9g_AG0dAjw,Acridotheres cristatellus,Birds,established,exotica,Invasion,Post-Introduction,2024-10-05T18:10:53Z
TPYumzdDZ5Y,Acridotheres cristatellus,Birds,established,exotica,Invasion,Post-Introduction,2019-08-21T19:36:28Z
TPYumzdDZ5Y,Acridotheres cristatellus,Birds,established,introduzida,Invasion,Post-Introduction,2019-08-21T19:36:28Z
FesJzaS3rTo,Acridotheres cristatellus,Birds,established,exotica,Invasion,Post-Introduction,2024-08-14T17:22:07Z
ibCDLmBoeeo,Acridotheres cristatellus,Birds,established,exotica,Invasion,Post-Introduction,2024-08-14T17:24:40Z
gUGzzXLsw08,Acridotheres cristatellus,Birds,established,exotica,Invasion,Post-Introduction,2019-05-01T19:45:38Z
wvJkA6zgymk,Aedes aegypti,Insects,established,peligro,Threat,Post-Introduction,2024-09-26T14:06:21Z
7VHx--FCd3E,Aedes aegypti,Insects,established,introducao,Invasion,Post-Introduction,2013-04-04T17:41:01Z
7VHx--FCd3E,Aedes aegypti,Insects,established,vetor,Threat,Post-Introduction,2013-04-04T17:41:01Z
6MMkZX7CjNU,Aedes aegypti,Insects,established,introducao,Invasion,Post-Introduction,2013-04-04T19:55:13Z
6MMkZX7CjNU,Aedes aegypti,Insects,established,vetor,Threat,Post-Introduction,2013-04-04T19:55:13Z
J_v3RGXBkoU,Agapornis fischeri,Birds,alien,tienda,eCommerce,Post-Introduction,2020-10-03T13:00:03Z
ZOi4AcAYmZU,Agapornis fischeri,Birds,alien,vista,Detection,Post-Introduction,2021-07-26T12:29:30Z
-mfHwUMbB1k,Agapornis nigrigenis,Birds,alien,jaula,eCommerce,Post-Introduction,2017-11-29T20:50:10Z
i0am-uqsH24,Amazona farinosa,Birds,alien,peligro,Threat,Post-Introduction,2014-04-26T18:13:37Z
CqBsUk5_pe4,Amazona ochrocephala,Birds,alien,mascota,eCommerce,Post-Introduction,2020-06-14T06:46:39Z
URMi5IoBA8o,Amazona ochrocephala,Birds,alien,exotico,Invasion,Post-Introduction,2024-05-12T19:00:20Z
gCP5S_l0Bu8,Aratinga jandaya,Birds,alien,mascota,eCommerce,Post-Introduction,2015-07-29T09:16:19Z
7GLcDLJc9d4,Balistoides conspicillum,Fishes,uncertain,aquario,eCommerce,Post-Introduction,2017-10-13T13:49:58Z
cq8rhhN-nZk,Balistoides conspicillum,Fishes,uncertain,acuario,eCommerce,Post-Introduction,2025-04-14T04:00:49Z
NkFFa6M5m6s,Belonochilus numenius,Insects,established,plaga,Invasion,Post-Introduction,2015-07-09T10:23:37Z
NkFFa6M5m6s,Belonochilus numenius,Insects,established,ataca,Threat,Post-Introduction,2015-07-09T10:23:37Z
FQFj0MfruKY,Bemisia tabaci,Insects,alien,aparecer,Detection,Post-Introduction,2022-07-18T11:12:38Z
_BbMsmZ2RJU,Bemisia tabaci,Insects,alien,aparicion,Detection,Post-Introduction,2022-10-19T06:40:47Z
1Rr-ocW6uWw,Bemisia tabaci,Insects,alien,control,Detection,Post-Introduction,2019-01-18T23:44:12Z
1Rr-ocW6uWw,Bemisia tabaci,Insects,alien,plagas,Invasion,Post-Introduction,2019-01-18T23:44:12Z
XXHSfJQjdJw,Bemisia tabaci,Insects,alien,plaga,Invasion,Post-Introduction,2020-07-14T07:07:36Z
oFsPXVXOCr4,Bemisia tabaci,Insects,alien,aparecer,Detection,Post-Introduction,2023-08-08T19:30:09Z
J2t0WElEqVY,Bemisia tabaci,Insects,alien,trampas,Detection,Post-Introduction,2013-06-21T00:14:42Z
J2t0WElEqVY,Bemisia tabaci,Insects,alien,plagas,Invasion,Post-Introduction,2013-06-21T00:14:42Z
vL9TvnbnBBY,Bemisia tabaci,Insects,alien,plagas,Invasion,Post-Introduction,2022-04-03T18:15:02Z
feTjM3z3eDk,Bemisia tabaci,Insects,alien,plaga,Invasion,Post-Introduction,2023-07-28T22:00:15Z
feTjM3z3eDk,Bemisia tabaci,Insects,alien,ataca,Threat,Post-Introduction,2023-07-28T22:00:15Z
GnArJJ-ewYY,Bemisia tabaci,Insects,alien,plagas,Invasion,Post-Introduction,2020-09-02T06:27:41Z
n2ylACNy3cI,Bemisia tabaci,Insects,alien,plaga,Invasion,Post-Introduction,2023-03-16T19:50:16Z
n2ylACNy3cI,Bemisia tabaci,Insects,alien,plagas,Invasion,Post-Introduction,2023-03-16T19:50:16Z
n2ylACNy3cI,Bemisia tabaci,Insects,alien,descuento,eCommerce,Post-Introduction,2023-03-16T19:50:16Z
meiLTgm66aI,Bemisia tabaci,Insects,alien,plagas,Invasion,Post-Introduction,2019-04-25T15:58:16Z
diZDS9qrv0M,Bemisia tabaci,Insects,alien,trampa,Detection,Post-Introduction,2025-06-17T07:06:08Z
diZDS9qrv0M,Bemisia tabaci,Insects,alien,trampas,Detection,Post-Introduction,2025-06-17T07:06:08Z
50o-1Gq63ow,Bemisia tabaci,Insects,alien,control,Detection,Post-Introduction,2016-10-13T19:01:12Z
j0V7f-2U2oQ,Bemisia tabaci,Insects,alien,plagas,Invasion,Post-Introduction,2022-10-14T07:47:25Z
M36h9zW-pR8,Bemisia tabaci,Insects,alien,trampa,Detection,Post-Introduction,2023-07-14T12:11:49Z
JAUI-ZfnFMg,Bemisia tabaci,Insects,alien,trampa,Detection,Post-Introduction,2012-03-29T17:16:03Z
JAUI-ZfnFMg,Bemisia tabaci,Insects,alien,plagas,Invasion,Post-Introduction,2012-03-29T17:16:03Z
5k7q7SWwdq4,Bemisia tabaci,Insects,alien,controlar,Detection,Post-Introduction,2015-05-22T21:58:57Z
5k7q7SWwdq4,Bemisia tabaci,Insects,alien,plagas,Invasion,Post-Introduction,2015-05-22T21:58:57Z
5k7q7SWwdq4,Bemisia tabaci,Insects,alien,trampas,Detection,Post-Introduction,2015-05-22T21:58:57Z
ndz6RHweWgU,Bemisia tabaci,Insects,alien,control,Detection,Post-Introduction,2024-12-02T12:23:13Z
ndz6RHweWgU,Bemisia tabaci,Insects,alien,plaga,Invasion,Post-Introduction,2024-12-02T12:23:13Z
jOi7GPnHg04,Bemisia tabaci,Insects,alien,plagas,Invasion,Post-Introduction,2022-05-25T22:21:15Z
HKFI_T--THU,Bemisia tabaci,Insects,alien,trampas,Detection,Post-Introduction,2023-06-21T05:13:31Z
HKFI_T--THU,Bemisia tabaci,Insects,alien,plagas,Invasion,Post-Introduction,2023-06-21T05:13:31Z
29Qvdlsep1Y,Bemisia tabaci,Insects,alien,control,Detection,Post-Introduction,2020-10-15T20:16:57Z
gzQB2RvHhOs,Bemisia tabaci,Insects,alien,plagas,Invasion,Post-Introduction,2018-06-21T16:00:03Z
2JlFmhn9ylI,Bemisia tabaci,Insects,alien,plaga,Invasion,Post-Introduction,2018-06-08T01:19:37Z
2Phet__WGGg,Bemisia tabaci,Insects,alien,plagas,Invasion,Post-Introduction,2020-07-09T12:40:13Z
z7IwedDStBU,Branta canadensis,Birds,established,peligroso,Threat,Post-Introduction,2022-05-08T11:19:04Z
xZdyME5qPOg,Branta canadensis,Birds,established,nativa,Invasion,Post-Introduction,2024-02-24T15:00:54Z
xZdyME5qPOg,Branta canadensis,Birds,established,introduzida,Invasion,Post-Introduction,2024-02-24T15:00:54Z
XVyhcvA5SUI,Bursaphelenchus xylophilus,Non-arthropod invertebrates,established,control,Detection,Post-Introduction,2023-08-24T13:00:33Z
XVyhcvA5SUI,Bursaphelenchus xylophilus,Non-arthropod invertebrates,established,nocivo,Threat,Post-Introduction,2023-08-24T13:00:33Z
XMLG7frKE2Y,Bursaphelenchus xylophilus,Non-arthropod invertebrates,established,praga,Invasion,Post-Introduction,2010-05-11T16:19:54Z
NW7qbwjJIhs,Caloenas nicobarica,Birds,casual,exotica,Invasion,Post-Introduction,2024-10-06T21:34:22Z
QnQ3Q8EcgYE,Caracara plancus,Birds,casual,avistamiento,Detection,Post-Introduction,2024-03-06T22:01:42Z
e4RjL4qlrx4,Caracara plancus,Birds,casual,avistamiento,Detection,Post-Introduction,2024-02-07T17:51:59Z
NQ6rP4wI3SU,Caracara plancus,Birds,casual,avistamiento,Detection,Post-Introduction,2024-01-11T23:33:32Z
