video_id,created_at,viewCount,likeCount,commentCount,TaxonName,Region,LifeForm,PresentStatus,word,time_period,KeywordCategory,category,FirstRecord,FirstRecordDate,token_source
u9g_AG0dAjw,2024-10-05T18:10:53Z,218,0,0,Acridotheres_cristatellus,Portugal,Birds,established,exotica,Post-Introduction,Invasion,Invasion,2007,2007-06-01T00:00:00Z,title_description
TPYumzdDZ5Y,2019-08-21T19:36:28Z,96,5,0,Acridotheres_cristatellus,Portugal,Birds,established,exotica,Post-Introduction,Invasion,Invasion,2007,2007-06-01T00:00:00Z,title_description
TPYumzdDZ5Y,2019-08-21T19:36:28Z,96,5,0,Acridotheres_cristatellus,Portugal,Birds,established,introduzida,Post-Introduction,Invasion,Invasion,2007,2007-06-01T00:00:00Z,title_description
FesJzaS3rTo,2024-08-14T17:22:07Z,5,0,0,Acridotheres_cristatellus,Portugal,Birds,established,exotica,Post-Introduction,Invasion,Invasion,2007,2007-06-01T00:00:00Z,title_description
ibCDLmBoeeo,2024-08-14T17:24:40Z,8,0,0,Acridotheres_cristatellus,Portugal,Birds,established,exotica,Post-Introduction,Invasion,Invasion,2007,2007-06-01T00:00:00Z,title_description
gUGzzXLsw08,2019-05-01T19:45:38Z,2451,23,2,Acridotheres_cristatellus,Portugal,Birds,established,exotica,Post-Introduction,Invasion,Invasion,2007,2007-06-01T00:00:00Z,title_description
wvJkA6zgymk,2024-09-26T14:06:21Z,1789,17,1,Aedes_aegypti,Madeira,Insects,established,peligro,Post-Introduction,Threat,Threat,2006,2006-06-01T00:00:00Z,title_description
7VHx--FCd3E,2013-04-04T17:41:01Z,5847,52,0,Aedes_aegypti,Madeira,Insects,established,introducao,Post-Introduction,Invasion,Invasion,2006,2006-06-01T00:00:00Z,title_description
7VHx--FCd3E,2013-04-04T17:41:01Z,5847,52,0,Aedes_aegypti,Madeira,Insects,established,vetor,Post-Introduction,Threat,Threat,2006,2006-06-01T00:00:00Z,title_description
7VHx--FCd3E,2013-04-04T17:41:01Z,5847,52,0,Aedes_aegypti,Madeira,Insects,established,introducao,Post-Introduction,Invasion,Invasion,2006,2006-06-01T00:00:00Z,title_description
7VHx--FCd3E,2013-04-04T17:41:01Z,5847,52,0,Aedes_aegypti,Madeira,Insects,established,vetor,Post-Introduction,Threat,Threat,2006,2006-06-01T00:00:00Z,title_description
6MMkZX7CjNU,2013-04-04T19:55:13Z,47975,517,14,Aedes_aegypti,Madeira,Insects,established,introducao,Post-Introduction,Invasion,Invasion,2006,2006-06-01T00:00:00Z,title_description
6MMkZX7CjNU,2013-04-04T19:55:13Z,47975,517,14,Aedes_aegypti,Madeira,Insects,established,vetor,Post-Introduction,Threat,Threat,2006,2006-06-01T00:00:00Z,title_description
J_v3RGXBkoU,2020-10-03T13:00:03Z,60183,1618,147,Agapornis_fischeri,Portugal,Birds,alien,tienda,Post-Introduction,eCommerce,eCommerce,2008,2008-06-01T00:00:00Z,title_description
ZOi4AcAYmZU,2021-07-26T12:29:30Z,3150,117,24,Agapornis_fischeri,Portugal,Birds,alien,vista,Post-Introduction,Detection,Detection,2008,2008-06-01T00:00:00Z,title_description
-mfHwUMbB1k,2017-11-29T20:50:10Z,54,0,0,Agapornis_nigrigenis,Spain,Birds,alien,jaula,Post-Introduction,eCommerce,eCommerce,2006,2006-06-01T00:00:00Z,title_description
i0am-uqsH24,2014-04-26T18:13:37Z,199,1,0,Amazona_farinosa,Spain,Birds,alien,peligro,Post-Introduction,Threat,Threat,2007,2007-06-01T00:00:00Z,title_description
CqBsUk5_pe4,2020-06-14T06:46:39Z,3114,19,3,Amazona_ochrocephala,Portugal,Birds,alien,mascota,Post-Introduction,eCommerce,eCommerce,2007,2007-06-01T00:00:00Z,title_description
CqBsUk5_pe4,2020-06-14T06:46:39Z,3114,19,3,Amazona_ochrocephala,Portugal,Birds,alien,mascota,Post-Introduction,eCommerce,eCommerce,2007,2007-06-01T00:00:00Z,title_description
URMi5IoBA8o,2024-05-12T19:00:20Z,903,29,11,Amazona_ochrocephala,Portugal,Birds,alien,exotico,Post-Introduction,Invasion,Invasion,2007,2007-06-01T00:00:00Z,title_description
gCP5S_l0Bu8,2015-07-29T09:16:19Z,51178,707,54,Aratinga_jandaya,Spain,Birds,alien,mascota,Post-Introduction,eCommerce,eCommerce,2008,2008-06-01T00:00:00Z,title_description
7GLcDLJc9d4,2017-10-13T13:49:58Z,1381,14,2,Balistoides_conspicillum,Spain,Fishes,uncertain,aquario,Post-Introduction,eCommerce,eCommerce,2012,2012-06-01T00:00:00Z,title_description
cq8rhhN-nZk,2025-04-14T04:00:49Z,1023,12,0,Balistoides_conspicillum,Spain,Fishes,uncertain,acuario,Post-Introduction,eCommerce,eCommerce,2012,2012-06-01T00:00:00Z,title_description
cq8rhhN-nZk,2025-04-14T04:00:49Z,1023,12,0,Balistoides_conspicillum,Spain,Fishes,uncertain,acuario,Post-Introduction,eCommerce,eCommerce,2012,2012-06-01T00:00:00Z,title_description
NkFFa6M5m6s,2015-07-09T10:23:37Z,17163,30,6,Belonochilus_numenius,Spain,Insects,established,plaga,Post-Introduction,Invasion,Invasion,2008,2008-06-01T00:00:00Z,title_description
NkFFa6M5m6s,2015-07-09T10:23:37Z,17163,30,6,Belonochilus_numenius,Spain,Insects,established,plaga,Post-Introduction,Invasion,Invasion,2008,2008-06-01T00:00:00Z,title_description
NkFFa6M5m6s,2015-07-09T10:23:37Z,17163,30,6,Belonochilus_numenius,Spain,Insects,established,ataca,Post-Introduction,Threat,Threat,2008,2008-06-01T00:00:00Z,title_description
FQFj0MfruKY,2022-07-18T11:12:38Z,196,3,0,Bemisia_tabaci,Spain,Insects,alien,aparecer,Post-Introduction,Detection,Detection,2006,2006-06-01T00:00:00Z,title_description
_BbMsmZ2RJU,2022-10-19T06:40:47Z,118918,918,28,Bemisia_tabaci,Spain,Insects,alien,aparicion,Post-Introduction,Detection,Detection,2006,2006-06-01T00:00:00Z,title_description
1Rr-ocW6uWw,2019-01-18T23:44:12Z,734486,21296,362,Bemisia_tabaci,Spain,Insects,alien,control,Post-Introduction,Detection,Detection,2006,2006-06-01T00:00:00Z,title_description
1Rr-ocW6uWw,2019-01-18T23:44:12Z,734486,21296,362,Bemisia_tabaci,Spain,Insects,alien,plagas,Post-Introduction,Invasion,Invasion,2006,2006-06-01T00:00:00Z,title_description
XXHSfJQjdJw,2020-07-14T07:07:36Z,3031,16,1,Bemisia_tabaci,Spain,Insects,alien,plaga,Post-Introduction,Invasion,Invasion,2006,2006-06-01T00:00:00Z,title_description
oFsPXVXOCr4,2023-08-08T19:30:09Z,23586,754,14,Bemisia_tabaci,Spain,Insects,alien,aparecer,Post-Introduction,Detection,Detection,2006,2006-06-01T00:00:00Z,title_description
J2t0WElEqVY,2013-06-21T00:14:42Z,868594,19050,929,Bemisia_tabaci,Spain,Insects,alien,trampas,Post-Introduction,Detection,Detection,2006,2006-06-01T00:00:00Z,title_description
J2t0WElEqVY,2013-06-21T00:14:42Z,868594,19050,929,Bemisia_tabaci,Spain,Insects,alien,trampas,Post-Introduction,Detection,Detection,2006,2006-06-01T00:00:00Z,title_description
J2t0WElEqVY,2013-06-21T00:14:42Z,868594,19050,929,Bemisia_tabaci,Spain,Insects,alien,plagas,Post-Introduction,Invasion,Invasion,2006,2006-06-01T00:00:00Z,title_description
vL9TvnbnBBY,2022-04-03T18:15:02Z,2221,127,31,Bemisia_tabaci,Spain,Insects,alien,plagas,Post-Introduction,Invasion,Invasion,2006,2006-06-01T00:00:00Z,title_description
feTjM3z3eDk,2023-07-28T22:00:15Z,2773,111,195,Bemisia_tabaci,Spain,Insects,alien,plaga,Post-Introduction,Invasion,Invasion,2006,2006-06-01T00:00:00Z,title_description
feTjM3z3eDk,2023-07-28T22:00:15Z,2773,111,195,Bemisia_tabaci,Spain,Insects,alien,ataca,Post-Introduction,Threat,Threat,2006,2006-06-01T00:00:00Z,title_description
GnArJJ-ewYY,2020-09-02T06:27:41Z,1953,2,0,Bemisia_tabaci,Spain,Insects,alien,plagas,Post-Introduction,Invasion,Invasion,2006,2006-06-01T00:00:00Z,title_description
n2ylACNy3cI,2023-03-16T19:50:16Z,4258,214,5,Bemisia_tabaci,Spain,Insects,alien,plaga,Post-Introduction,Invasion,Invasion,2006,2006-06-01T00:00:00Z,title_description
n2ylACNy3cI,2023-03-16T19:50:16Z,4258,214,5,Bemisia_tabaci,Spain,Insects,alien,plagas,Post-Introduction,Invasion,Invasion,2006,2006-06-01T00:00:00Z,title_description
n2ylACNy3cI,2023-03-16T19:50:16Z,4258,214,5,Bemisia_tabaci,Spain,Insects,alien,descuento,Post-Introduction,eCommerce,eCommerce,2006,2006-06-01T00:00:00Z,title_description
n2ylACNy3cI,2023-03-16T19:50:16Z,4258,214,5,Bemisia_tabaci,Spain,Insects,alien,descuento,Post-Introduction,eCommerce,eCommerce,2006,2006-06-01T00:00:00Z,title_description
meiLTgm66aI,2019-04-25T15:58:16Z,817590,19070,700,Bemisia_tabaci,Spain,Insects,alien,plagas,Post-Introduction,Invasion,Invasion,2006,2006-06-01T00:00:00Z,title_description
diZDS9qrv0M,2025-06-17T07:06:08Z,1570,9,0,Bemisia_tabaci,Spain,Insects,alien,trampa,Post-Introduction,Detection,Detection,2006,2006-06-01T00:00:00Z,title_description
diZDS9qrv0M,2025-06-17T07:06:08Z,1570,9,0,Bemisia_tabaci,Spain,Insects,alien,trampas,Post-Introduction,Detection,Detection,2006,2006-06-01T00:00:00Z,title_description
50o-1Gq63ow,2016-10-13T19:01:12Z,3377,14,0,Bemisia_tabaci,Spain,Insects,alien,control,Post-Introduction,Detection,Detection,2006,2006-06-01T00:00:00Z,title_description
50o-1Gq63ow,2016-10-13T19:01:12Z,3377,14,0,Bemisia_tabaci,Spain,Insects,alien,control,Post-Introduction,Detection,Detection,2006,2006-06-01T00:00:00Z,title_description
j0V7f-2U2oQ,2022-10-14T07:47:25Z,1516,25,2,Bemisia_tabaci,Spain,Insects,alien,plagas,Post-Introduction,Invasion,Invasion,2006,2006-06-01T00:00:00Z,title_description
M36h9zW-pR8,2023-07-14T12:11:49Z,609,14,0,Bemisia_tabaci,Spain,Insects,alien,trampa,Post-Introduction,Detection,Detection,2006,2006-06-01T00:00:00Z,title_description
JAUI-ZfnFMg,2012-03-29T17:16:03Z,32340,50,1,Bemisia_tabaci,Spain,Insects,alien,trampa,Post-Introduction,Detection,Detection,2006,2006-06-01T00:00:00Z,title_description
JAUI-ZfnFMg,2012-03-29T17:16:03Z,32340,50,1,Bemisia_tabaci,Spain,Insects,alien,trampa,Post-Introduction,Detection,Detection,2006,2006-06-01T00:00:00Z,title_description
JAUI-ZfnFMg,2012-03-29T17:16:03Z,32340,50,1,Bemisia_tabaci,Spain,Insects,alien,plagas,Post-Introduction,Invasion,Invasion,2006,2006-06-01T00:00:00Z,title_description
5k7q7SWwdq4,2015-05-22T21:58:57Z,18166,72,8,Bemisia_tabaci,Spain,Insects,alien,controlar,Post-Introduction,Detection,Detection,2006,2006-06-01T00:00:00Z,title_description
5k7q7SWwdq4,2015-05-22T21:58:57Z,18166,72,8,Bemisia_tabaci,Spain,Insects,alien,plagas,Post-Introduction,Invasion,Invasion,2006,2006-06-01T00:00:00Z,title_description
5k7q7SWwdq4,2015-05-22T21:58:57Z,18166,72,8,Bemisia_tabaci,Spain,Insects,alien,trampas,Post-Introduction,Detection,Detection,2006,2006-06-01T00:00:00Z,title_description
5k7q7SWwdq4,2015-05-22T21:58:57Z,18166,72,8,Bemisia_tabaci,Spain,Insects,alien,controlar,Post-Introduction,Detection,Detection,2006,2006-06-01T00:00:00Z,title_description
ndz6RHweWgU,2024-12-02T12:23:13Z,240,1,,Bemisia_tabaci,Spain,Insects,alien,control,Post-Introduction,Detection,Detection,2006,2006-06-01T00:00:00Z,title_description
ndz6RHweWgU,2024-12-02T12:23:13Z,240,1,,Bemisia_tabaci,Spain,Insects,alien,plaga,Post-Introduction,Invasion,Invasion,2006,2006-06-01T00:00:00Z,title_description
jOi7GPnHg04,2022-05-25T22:21:15Z,5579,306,39,Bemisia_tabaci,Spain,Insects,alien,plagas,Post-Introduction,Invasion,Invasion,2006,2006-06-01T00:00:00Z,title_description
HKFI_T--THU,2023-06-21T05:13:31Z,1810,30,2,Bemisia_tabaci,Spain,Insects,alien,trampas,Post-Introduction,Detection,Detection,2006,2006-06-01T00:00:00Z,title_description
HKFI_T--THU,2023-06-21T05:13:31Z,1810,30,2,Bemisia_tabaci,Spain,Insects,alien,plagas,Post-Introduction,Invasion,Invasion,2006,2006-06-01T00:00:00Z,title_description
29Qvdlsep1Y,2020-10-15T20:16:57Z,577,8,0,Bemisia_tabaci,Spain,Insects,alien,control,Post-Introduction,Detection,Detection,2006,2006-06-01T00:00:00Z,title_description
29Qvdlsep1Y,2020-10-15T20:16:57Z,577,8,0,Bemisia_tabaci,Spain,Insects,alien,control,Post-Introduction,Detection,Detection,2006,2006-06-01T00:00:00Z,title_description
gzQB2RvHhOs,2018-06-21T16:00:03Z,1840050,39799,1791,Bemisia_tabaci,Spain,Insects,alien,plagas,Post-Introduction,Invasion,Invasion,2006,2006-06-01T00:00:00Z,title_description
gzQB2RvHhOs,2018-06-21T16:00:03Z,1840050,39799,1791,Bemisia_tabaci,Spain,Insects,alien,plagas,Post-Introduction,Invasion,Invasion,2006,2006-06-01T00:00:00Z,title_description
2JlFmhn9ylI,2018-06-08T01:19:37Z,1527,13,0,Bemisia_tabaci,Spain,Insects,alien,plaga,Post-Introduction,Invasion,Invasion,2006,2006-06-01T00:00:00Z,title_description
2Phet__WGGg,2020-07-09T12:40:13Z,995,8,0,Bemisia_tabaci,Spain,Insects,alien,plagas,Post-Introduction,Invasion,Invasion,2006,2006-06-01T00:00:00Z,title_description
z7IwedDStBU,2022-05-08T11:19:04Z,3942,57,19,Branta_canadensis,Portugal,Birds,established,peligroso,Post-Introduction,Threat,Threat,2008,2008-06-01T00:00:00Z,title_description
xZdyME5qPOg,2024-02-24T15:00:54Z,258,22,1,Branta_canadensis,Portugal,Birds,established,nativa,Post-Introduction,Invasion,Invasion,2008,2008-06-01T00:00:00Z,title_description
xZdyME5qPOg,2024-02-24T15:00:54Z,258,22,1,Branta_canadensis,Portugal,Birds,established,introduzida,Post-Introduction,Invasion,Invasion,2008,2008-06-01T00:00:00Z,title_description
XVyhcvA5SUI,2023-08-24T13:00:33Z,903,10,0,Bursaphelenchus_xylophilus,Spain,Non-arthropod invertebrates,established,control,Post-Introduction,Detection,Detection,2008,2008-06-01T00:00:00Z,title_description
