source_file,video_id,title,description,publishedAt,channelTitle,TaxonName,query,search_type,search_unit,regionCode,geo_id,location,locationRadius,video_url,viewCount,likeCount,commentCount,duration
yt_search_terms_03_REG_videos.csv,1ySgmTNyLO0,Distribuição espaço-temporal global de falhas de controle de Phthorimaea absoluta por avermectina,,2025-09-27T00:00:00Z,Kelly,Phthorimaea_absoluta,Phthorimaea absoluta,REG,PT,PT,,,,https://www.youtube.com/watch?v=1ySgmTNyLO0,7,0,0,PT7M41S
yt_search_terms_03_REG_videos.csv,0_s6ub-z-pw,TUTA ABSOLUTA: 6 formas de eliminarla de tus tomates.,"La Tuta Absoluta es la plaga más destructiva de los tomates. Esta plaga, concretamente sus larvas, hacen agujeros en los ...",2024-05-18T00:00:00Z,El manual del agricultor,Phthorimaea_absoluta,Tuta absoluta,REG,ES,ES,,,,https://www.youtube.com/watch?v=0_s6ub-z-pw,274488,3366,201,PT17M2S
yt_search_terms_03_REG_videos.csv,3iHUuelhCz8,HOW DO YOU STOP TUTA ABSOLUTA I #tomato #eggplant #agriculture,"In this video we will look at what measures we can take against the Tuta Absoluta, or tomato moth as it is known, which does not ...",2022-07-25T00:00:00Z,DD GARDEN TV,Phthorimaea_absoluta,Tuta absoluta,REG,PT,PT,,,,https://www.youtube.com/watch?v=3iHUuelhCz8,10694,86,3,PT6M55S
yt_search_terms_03_REG_videos.csv,4MMu0c_m7UY,Life cycle of Tuta absoluta (tomato leaf mining moth),"Tuta absoluta is a very harmful leaf mining moth. It occurs on eggplants, sweet peppers as well as potatoes and various other ...",2017-01-04T00:00:00Z,Koppert,Phthorimaea_absoluta,Tuta absoluta,REG,PT,PT,,,,https://www.youtube.com/watch?v=4MMu0c_m7UY,87469,903,27,PT2M52S
yt_search_terms_03_REG_videos.csv,4_STyuqSkkU,Cycle de vie de Tuta absoluta,Tuta Absoluta est un lépidoptère présent en France depuis 2009. Plusieurs solutions de biocontrôle existent pour maîtriser au ...,2022-07-25T00:00:00Z,Koppert France,Phthorimaea_absoluta,Tuta absoluta,REG,PT,PT,,,,https://www.youtube.com/watch?v=4_STyuqSkkU,4238,56,0,PT2M52S
yt_search_terms_03_REG_videos.csv,BCvIlkDxd10,TOMATE: todo sobre la TUTA ABSOLUTA. PLAGAS DEL TOMATE,"EL TOMATE es el rey de nuestros huertos, pero no solo nos gusta a nosotros, descubre todo sobre la TUTA ABSOLUTA una de ...",2013-11-16T00:00:00Z,El Huerto Familiar,Phthorimaea_absoluta,Tuta absoluta,REG,ES,ES,,,,https://www.youtube.com/watch?v=BCvIlkDxd10,365793,7517,139,PT9M1S
yt_search_terms_03_REG_videos.csv,GNDbwenT0wI,Tuta Absoluta del tomate,Tuta Absoluta   Aprende a identificarla a tiempo para mantener tus cultivos a salvo! . . . . . . . #tomate #tuta #tutaabsoluta #polilla ...,2025-05-02T00:00:00Z,AgroNutrients,Phthorimaea_absoluta,Tuta absoluta,REG,PT,PT,,,,https://www.youtube.com/watch?v=GNDbwenT0wI,2366,19,0,PT49S
yt_search_terms_03_REG_videos.csv,MJvktxq_y54,COMO CULTIVAR TOMATES CON EXITO | CONTROL DE PLAGAS | TUTA ABSOLUTA,Hoy le mostramos cómo controlar la plaga Tuta Absoluta de manera semi orgánica. Descubra estrategias efectivas para ...,2025-01-09T00:00:00Z,AgroVerde,Phthorimaea_absoluta,Tuta absoluta,REG,PT,PT,,,,https://www.youtube.com/watch?v=MJvktxq_y54,2837,39,2,PT4M54S
yt_search_terms_03_REG_videos.csv,SsLpUH1YzO8,&quot;¡Hoy hablamos sobre cómo combatir un ataque severo de Tuta Absoluta! 🍅,Conozca estrategias efectivas y semi orgánicas para proteger sus tomates y mantener una producción saludable. ¡No se lo ...,2025-01-09T00:00:00Z,AgroVerde,Phthorimaea_absoluta,Tuta absoluta,REG,PT,PT,,,,https://www.youtube.com/watch?v=SsLpUH1YzO8,16555,165,5,PT46S
yt_search_terms_03_REG_videos.csv,WeCA7pGu9yI,COME ELIMINARE LA TUTA ABSOLUTA DEL POMODORO,Occorre una strategia di difesa per eliminare la tuta absoluta del pomodoro e le varie NOTTUE. Vediamo quali sono BACILLUS ...,2019-08-23T00:00:00Z,Natura e Bellezza,Phthorimaea_absoluta,Tuta absoluta,REG,PT,PT,,,,https://www.youtube.com/watch?v=WeCA7pGu9yI,223069,5148,204,PT5M37S
yt_search_terms_03_REG_videos.csv,ZRZMLcMXWtg,¡🍅ASÍ CONTROLAMOS LA TUTA ABSOLUTA EN NUESTROS TOMATES! 🌱,frutastropicales #viralvideo #video #frutastropicales #aguacate #fruticultura #fruticultura #fruit #viralvideos #viralvideo #fruta ...,2024-12-13T00:00:00Z,Frutayverduras,Phthorimaea_absoluta,Tuta absoluta,REG,ES,ES,,,,https://www.youtube.com/watch?v=ZRZMLcMXWtg,6730,161,5,PT2M21S
yt_search_terms_03_REG_videos.csv,_nGqGgE4gqw,"VYNYTY Tuta Press, innovamos en la gestión de Tuta absoluta en tomate de invernadero","Diego Hernández, Market Development de cultivos de invernadero en Bayer explica todos los detalles de VYNYTY Tuta Press en ...",2023-07-19T00:00:00Z,Bayer Crop Science España,Phthorimaea_absoluta,Tuta absoluta,REG,PT,PT,,,,https://www.youtube.com/watch?v=_nGqGgE4gqw,3258,13,1,PT2M46S
yt_search_terms_03_REG_videos.csv,bW7obi6Y_pw,COMO COMBATIR Y LUCHAR CONTRA LA TUTA ABSOLUTA O POLILLA DEL TOMATE,"Video de un cliente satisfecho de su Titan Anti tuta. 100% ecológico, para funcionar solo necesita una corriente eléctrica.",2021-10-27T00:00:00Z,Agroiberica 2013 SA,Phthorimaea_absoluta,Tuta absoluta,REG,ES,ES,,,,https://www.youtube.com/watch?v=bW7obi6Y_pw,1080,7,1,PT58S
yt_search_terms_03_REG_videos.csv,cWl2x0x4gS0,¡ELIMINA LA TUTA ABSOLUTA DEL TOMATE! Guía definitiva: Remedios naturales y control eficaz,Tus tomates están siendo atacados por la Tuta absoluta? ¡Es hora de tomar el control de forma natural! COMPRAR: ...,2026-06-09T00:00:00Z,La huerta de José y Gloria. Naturnatur.,Phthorimaea_absoluta,Tuta absoluta,REG,PT,PT,,,,https://www.youtube.com/watch?v=cWl2x0x4gS0,1954,56,5,PT26M34S
yt_search_terms_03_REG_videos.csv,isL-JaHv6_I,Control biológico frente a la Tuta absoluta,"Con la primavera a la vuelta de la esquina, técnicos y agricultores se preparan para hacer frente a Tuta absoluta con una ...",2021-03-05T00:00:00Z,AenVerde La Revista del Agricultor,Phthorimaea_absoluta,Tuta absoluta,REG,ES,ES,,,,https://www.youtube.com/watch?v=isL-JaHv6_I,5383,36,0,PT6M57S
yt_search_terms_03_REG_videos.csv,iyLPWO2rZBE,Ciclo de vida de la Tuta absoluta,Ciclo de vida de la Tuta absoluta.,2012-02-15T00:00:00Z,Syngenta España,Phthorimaea_absoluta,Tuta absoluta,REG,ES,ES,,,,https://www.youtube.com/watch?v=iyLPWO2rZBE,109871,665,14,PT16M54S
yt_search_terms_03_REG_videos.csv,j8_PZA-onfU,Todo sobre la TUTA ABSOLUTA y su desarrollo en el tomate / El huerto de Kevin,"hola amigos y amigas en el vídeo de hoy os enseño todo sobre la TUTA ABSOLUTA, espero que os guste mucho un saludo ...",2021-06-10T00:00:00Z,El huerto de Kevin,Phthorimaea_absoluta,Tuta absoluta,REG,ES,ES,,,,https://www.youtube.com/watch?v=j8_PZA-onfU,6062,166,32,PT5M50S
yt_search_terms_03_REG_videos.csv,vkViyxrYg0A,Cómo combatir la Tuta del tomate de forma ecológica - Planeta Huerto,La Tuta Absoluta es uno de los mayores enemigos de las tomateras. Pero no os preocupéis: en este vídeo os explicamos cómo ...,2014-07-01T00:00:00Z,Planeta Huerto,Phthorimaea_absoluta,Tuta absoluta,REG,ES,ES,,,,https://www.youtube.com/watch?v=vkViyxrYg0A,252515,903,28,PT2M25S
yt_search_terms_03_REG_videos.csv,x8VxwVWg80g,How to Manage Tuta Absoluta in Tomatoes – Best Control &amp; Prevention #tomato  #howto #tutaabsoluta,"Tuta absoluta, also known as the tomato leafminer, is one of the most destructive pests affecting tomato crops worldwide. In this ...",2025-03-12T00:00:00Z,Agritalk Africa,Phthorimaea_absoluta,Tuta absoluta,REG,PT,PT,,,,https://www.youtube.com/watch?v=x8VxwVWg80g,3754,37,5,PT28S
yt_search_terms_03_REG_videos.csv,GnHpjZdfYck,Daños de la polilla del tomate,"La polilla del tomate (Tuta absoluta), es una plaga considerada primaria en el cultivo de #tomate en Chile, ya que si esta no es ...",2019-11-15T00:00:00Z,AnasacChileSA,Phthorimaea_absoluta,polilla del tomate,REG,PT,PT,,,,https://www.youtube.com/watch?v=GnHpjZdfYck,78,0,0,PT41S
yt_search_terms_03_REG_videos.csv,H3bN3VfXHlg,Como acabar con la polilla del tomate (Tuta Absoluta),Como acabar con la polilla del tomate. Para la lucha contra la polilla del tomate o Tuta Absoluta podemos emplear insecticidas ...,2018-09-19T00:00:00Z,Cosas de campo,Phthorimaea_absoluta,polilla del tomate,REG,ES,ES,,,,https://www.youtube.com/watch?v=H3bN3VfXHlg,78283,919,47,PT7M53S
yt_search_terms_03_REG_videos.csv,IPv2OH48cSA,Controlar la TUTA o Polilla del Tomate!! 🍅,Truco para controlar la tuta o polilla del tomate de una manera efectiva y sin gastar dinero. Elimina a la tuta de tus tomates ...,2023-07-18T00:00:00Z,La Huerta de Iván,Phthorimaea_absoluta,polilla del tomate,REG,ES,ES,,,,https://www.youtube.com/watch?v=IPv2OH48cSA,77778,2715,137,PT56S
yt_search_terms_03_REG_videos.csv,S8k69Epi8Jc,7.- Plaga Polilla del tomate,Sistema Mateo. Gestión de sanidad vegetal para la innovación en torno del manejo integrado de las principales plagas y ...,2018-10-24T00:00:00Z,INIA Chile,Phthorimaea_absoluta,polilla del tomate,REG,ES,ES,,,,https://www.youtube.com/watch?v=S8k69Epi8Jc,18012,163,4,PT6M14S
