batch,TaxonName,query
search_terms_01,Vespa_velutina,Vespa velutina
search_terms_01,Vespa_velutina,avispa asiática
search_terms_01,Vespa_velutina,avispa asiatica
search_terms_01,Vespa_velutina,vespa asiática
search_terms_01,Vespa_velutina,vespa asiatica
search_terms_01,Psittacus_erithacus,Psittacus erithacus
search_terms_01,Psittacus_erithacus,loro gris africano
search_terms_01,Psittacus_erithacus,papagaio cinzento
search_terms_02,Xylella_fastidiosa,Xylella fastidiosa
search_terms_02,Rugulopteryx_okamurae,Rugulopteryx okamurae
search_terms_03,Phthorimaea_absoluta,Phthorimaea absoluta
search_terms_03,Phthorimaea_absoluta,Tuta absoluta
search_terms_03,Phthorimaea_absoluta,polilla del tomate
