LifeForm,category,time_period,mean_prop,sd_prop,median_prop,iqr_prop,n_groups
"Bacteria, Viruses, Fungi",Detection,Post-Introduction,41.37931034482759,NA,41.37931034482759,0,1
"Bacteria, Viruses, Fungi",Invasion,Post-Introduction,10.344827586206897,NA,10.344827586206897,0,1
"Bacteria, Viruses, Fungi",Threat,Post-Introduction,10.344827586206897,NA,10.344827586206897,0,1
"Bacteria, Viruses, Fungi",eCommerce,Post-Introduction,37.93103448275862,NA,37.93103448275862,0,1
Birds,Detection,Post-Introduction,13.966480446927374,NA,13.966480446927374,0,1
Birds,Detection,Pre-Introduction,10,NA,10,0,1
Birds,Invasion,Post-Introduction,0.5586592178770949,NA,0.5586592178770949,0,1
Birds,Threat,Post-Introduction,4.748603351955308,NA,4.748603351955308,0,1
Birds,eCommerce,Post-Introduction,80.72625698324022,NA,80.72625698324022,0,1
Birds,eCommerce,Pre-Introduction,90,NA,90,0,1
Crustaceans,Detection,Post-Introduction,11.11111111111111,NA,11.11111111111111,0,1
Crustaceans,Invasion,Post-Introduction,2.2222222222222223,NA,2.2222222222222223,0,1
Crustaceans,Threat,Post-Introduction,3.3333333333333335,NA,3.3333333333333335,0,1
Crustaceans,eCommerce,Post-Introduction,83.33333333333333,NA,83.33333333333333,0,1
Crustaceans,eCommerce,Pre-Introduction,100,NA,100,0,1
Fishes,Detection,Post-Introduction,17.647058823529413,NA,17.647058823529413,0,1
Fishes,Invasion,Post-Introduction,3.5294117647058822,NA,3.5294117647058822,0,1
Fishes,Threat,Post-Introduction,1.1764705882352942,NA,1.1764705882352942,0,1
Fishes,eCommerce,Post-Introduction,77.6470588235294,NA,77.6470588235294,0,1
Herptiles,Detection,Post-Introduction,14.919354838709678,NA,14.919354838709678,0,1
Herptiles,Detection,Pre-Introduction,6.25,NA,6.25,0,1
Herptiles,Invasion,Post-Introduction,2.8225806451612905,NA,2.8225806451612905,0,1
Herptiles,Threat,Post-Introduction,9.67741935483871,NA,9.67741935483871,0,1
Herptiles,Threat,Pre-Introduction,6.25,NA,6.25,0,1
Herptiles,eCommerce,Post-Introduction,72.58064516129032,NA,72.58064516129032,0,1
Herptiles,eCommerce,Pre-Introduction,87.5,NA,87.5,0,1
Insects,Detection,Post-Introduction,44.90543014032947,NA,44.90543014032947,0,1
Insects,Invasion,Post-Introduction,25.80841976815131,NA,25.80841976815131,0,1
Insects,Threat,Post-Introduction,15.558267236119585,NA,15.558267236119585,0,1
Insects,Threat,Pre-Introduction,100,NA,100,0,1
Insects,eCommerce,Post-Introduction,13.727882855399633,NA,13.727882855399633,0,1
Non-arthropod invertebrates,Detection,Post-Introduction,11.11111111111111,NA,11.11111111111111,0,1
Non-arthropod invertebrates,Invasion,Post-Introduction,33.333333333333336,NA,33.333333333333336,0,1
Non-arthropod invertebrates,eCommerce,Post-Introduction,55.55555555555556,NA,55.55555555555556,0,1
Plants,Detection,Post-Introduction,24.444444444444443,NA,24.444444444444443,0,1
Plants,Invasion,Post-Introduction,44.44444444444444,NA,44.44444444444444,0,1
Plants,Threat,Post-Introduction,6.666666666666667,NA,6.666666666666667,0,1
Plants,eCommerce,Post-Introduction,24.444444444444443,NA,24.444444444444443,0,1
