TaxonName,time_period,n_tokens,period_total,share_pct
Vespa_velutina,Post-Introduction,754,2548,29.591836734693878
Phthorimaea_absoluta,Post-Introduction,390,2548,15.306122448979592
Bemisia_tabaci,Post-Introduction,304,2548,11.930926216640502
Psittacus_erithacus,Post-Introduction,232,2548,9.105180533751962
Graptemys_pseudogeographica,Post-Introduction,97,2548,3.80690737833595
Cherax_quadricarinatus,Post-Introduction,89,2548,3.4929356357927785
Ceratitis_capitata,Post-Introduction,69,2548,2.708006279434851
Rugulopteryx_okamurae,Post-Introduction,66,2548,2.5902668759811616
Varanus_exanthematicus,Post-Introduction,55,2548,2.1585557299843012
Zebrasoma_flavescens,Post-Introduction,49,2548,1.9230769230769231
Mauremys_reevesii,Post-Introduction,44,2548,1.7268445839874411
Perca_fluviatilis,Post-Introduction,33,2548,1.2951334379905808
Primolius_maracana,Post-Introduction,25,2548,0.9811616954474097
Platycerium_bifurcatum,Post-Introduction,24,2548,0.9419152276295133
Pseudemys_concinna,Post-Introduction,24,2548,0.9419152276295133
Psephotus_haematonotus,Post-Introduction,23,2548,0.902668759811617
Vespa_orientalis,Post-Introduction,22,2548,0.8634222919937206
Halyomorpha_halys,Post-Introduction,17,2548,0.6671899529042387
Synoicus_chinensis,Post-Introduction,17,2548,0.6671899529042387
Mauremys_sinensis,Post-Introduction,16,2548,0.6279434850863422
Paratrechina_jaegerskioeldi,Post-Introduction,16,2548,0.6279434850863422
Scyphophorus_acupunctatus,Post-Introduction,14,2548,0.5494505494505495
Agapornis_nigrigenis,Post-Introduction,12,2548,0.47095761381475665
Aratinga_jandaya,Post-Introduction,12,2548,0.47095761381475665
Phytophthora_citricola,Post-Introduction,12,2548,0.47095761381475665
Spodoptera_frugiperda,Post-Introduction,12,2548,0.47095761381475665
Glycaspis_brimblecombei,Post-Introduction,10,2548,0.3924646781789639
Wasmannia_auropunctata,Post-Introduction,10,2548,0.3924646781789639
Agapornis_fischeri,Post-Introduction,9,2548,0.3532182103610675
Xylella_fastidiosa,Post-Introduction,9,2548,0.3532182103610675
Cydalima_perspectalis,Post-Introduction,8,2548,0.3139717425431711
Aedes_aegypti,Post-Introduction,7,2548,0.27472527472527475
Tobamovirus_fructirugosum,Post-Introduction,7,2548,0.27472527472527475
Apalone_ferox,Post-Introduction,5,2548,0.19623233908948196
Pionites_melanocephalus,Post-Introduction,5,2548,0.19623233908948196
Pomacea_maculata,Post-Introduction,5,2548,0.19623233908948196
Pseudemys_peninsularis,Post-Introduction,5,2548,0.19623233908948196
Anser_cygnoides,Post-Introduction,4,2548,0.15698587127158556
Amazona_amazonica,Post-Introduction,3,2548,0.11773940345368916
Belonochilus_numenius,Post-Introduction,3,2548,0.11773940345368916
Diadema_antillarum,Post-Introduction,3,2548,0.11773940345368916
Grus_canadensis,Post-Introduction,3,2548,0.11773940345368916
Lonchura_oryzivora,Post-Introduction,3,2548,0.11773940345368916
Balistoides_conspicillum,Post-Introduction,2,2548,0.07849293563579278
Branta_canadensis,Post-Introduction,2,2548,0.07849293563579278
Caloenas_nicobarica,Post-Introduction,2,2548,0.07849293563579278
Haemorhous_mexicanus,Post-Introduction,2,2548,0.07849293563579278
Leptoglossus_occidentalis,Post-Introduction,2,2548,0.07849293563579278
Acridotheres_cristatellus,Post-Introduction,1,2548,0.03924646781789639
Amazona_albifrons,Post-Introduction,1,2548,0.03924646781789639
Amazona_ochrocephala,Post-Introduction,1,2548,0.03924646781789639
Caprella_scaura,Post-Introduction,1,2548,0.03924646781789639
Geranoaetus_melanoleucus,Post-Introduction,1,2548,0.03924646781789639
Lagocephalus_sceleratus,Post-Introduction,1,2548,0.03924646781789639
Mnemiopsis_leidyi,Post-Introduction,1,2548,0.03924646781789639
Pelodiscus_sinensis,Post-Introduction,1,2548,0.03924646781789639
Reticulitermes_flavipes,Post-Introduction,1,2548,0.03924646781789639
Testudo_marginata,Post-Introduction,1,2548,0.03924646781789639
Tomato_leaf_curl_New_Delhi_virus,Post-Introduction,1,2548,0.03924646781789639
Apalone_ferox,Pre-Introduction,23,48,47.916666666666664
Psittacus_erithacus,Pre-Introduction,10,48,20.833333333333332
Mauremys_reevesii,Pre-Introduction,5,48,10.416666666666666
Cherax_quadricarinatus,Pre-Introduction,4,48,8.333333333333334
Pelodiscus_sinensis,Pre-Introduction,3,48,6.25
Halyomorpha_halys,Pre-Introduction,2,48,4.166666666666667
Varanus_exanthematicus,Pre-Introduction,1,48,2.0833333333333335
