video_id,TaxonName,LifeForm,PresentStatus,word,category,time_period,created_at
video_001995,Acridotheres cristatellus,Birds,established,visto,Detection,Post-Introduction,2024-01-12T21:35:06Z
video_010941,Aedes aegypti,Insects,established,transmisor,Threat,Post-Introduction,2020-10-10T09:21:26Z
video_010941,Aedes aegypti,Insects,established,alerta,Detection,Post-Introduction,2020-10-10T09:21:26Z
video_010941,Aedes aegypti,Insects,established,controlar,Detection,Post-Introduction,2020-10-10T09:21:26Z
video_010941,Aedes aegypti,Insects,established,propagando,Invasion,Post-Introduction,2020-10-10T09:21:26Z
video_010941,Aedes aegypti,Insects,established,deteccion,Detection,Post-Introduction,2020-10-10T09:21:26Z
video_002027,Aedes aegypti,Insects,established,armadilhas,Detection,Post-Introduction,2018-04-09T19:44:26Z
video_002027,Aedes aegypti,Insects,established,pragas,Invasion,Post-Introduction,2018-04-09T19:44:26Z
video_012821,Agapornis fischeri,Birds,alien,visto,Detection,Post-Introduction,2025-09-25T23:37:11Z
video_005528,Agapornis fischeri,Birds,alien,precio,eCommerce,Post-Introduction,2022-04-29T20:31:29Z
video_005528,Agapornis fischeri,Birds,alien,compre,eCommerce,Post-Introduction,2021-11-07T04:48:25Z
video_005528,Agapornis fischeri,Birds,alien,adoptar,eCommerce,Post-Introduction,2020-12-18T09:10:00Z
video_005528,Agapornis fischeri,Birds,alien,visto,Detection,Post-Introduction,2020-12-18T09:10:00Z
video_005528,Agapornis fischeri,Birds,alien,cara,eCommerce,Post-Introduction,2020-10-03T17:59:25Z
video_005528,Agapornis fischeri,Birds,alien,precios,eCommerce,Post-Introduction,2020-10-03T13:34:26Z
video_005528,Agapornis fischeri,Birds,alien,reciente,Detection,Post-Introduction,2020-10-03T21:44:16Z
video_002115,Agapornis fischeri,Birds,alien,encontre,Detection,Post-Introduction,2022-03-07T05:22:48Z
video_014788,Agapornis nigrigenis,Birds,alien,hibridacion,Threat,Post-Introduction,2020-04-11T11:05:09Z
video_014788,Agapornis nigrigenis,Birds,alien,vender,eCommerce,Post-Introduction,2020-03-04T16:22:32Z
video_014788,Agapornis nigrigenis,Birds,alien,pajareria,eCommerce,Post-Introduction,2020-03-04T16:22:32Z
video_014788,Agapornis nigrigenis,Birds,alien,controlar,Detection,Post-Introduction,2020-02-01T23:24:55Z
video_008139,Agapornis nigrigenis,Birds,alien,toxica,Threat,Post-Introduction,2019-10-17T22:42:29Z
