video_id,TaxonName,LifeForm,PresentStatus,word,category,time_period,created_at
video_015544,Acridotheres cristatellus,Birds,established,exotica,Invasion,Post-Introduction,2024-10-05T18:10:53Z
video_008181,Acridotheres cristatellus,Birds,established,exotica,Invasion,Post-Introduction,2019-08-21T19:36:28Z
video_008181,Acridotheres cristatellus,Birds,established,introduzida,Invasion,Post-Introduction,2019-08-21T19:36:28Z
video_004480,Acridotheres cristatellus,Birds,established,exotica,Invasion,Post-Introduction,2024-08-14T17:22:07Z
video_012517,Acridotheres cristatellus,Birds,established,exotica,Invasion,Post-Introduction,2024-08-14T17:24:40Z
video_011966,Acridotheres cristatellus,Birds,established,exotica,Invasion,Post-Introduction,2019-05-01T19:45:38Z
video_016293,Aedes aegypti,Insects,established,peligro,Threat,Post-Introduction,2024-09-26T14:06:21Z
video_002322,Aedes aegypti,Insects,established,introducao,Invasion,Post-Introduction,2013-04-04T17:41:01Z
video_002322,Aedes aegypti,Insects,established,vetor,Threat,Post-Introduction,2013-04-04T17:41:01Z
video_002027,Aedes aegypti,Insects,established,introducao,Invasion,Post-Introduction,2013-04-04T19:55:13Z
video_002027,Aedes aegypti,Insects,established,vetor,Threat,Post-Introduction,2013-04-04T19:55:13Z
video_005528,Agapornis fischeri,Birds,alien,tienda,eCommerce,Post-Introduction,2020-10-03T13:00:03Z
video_009822,Agapornis fischeri,Birds,alien,vista,Detection,Post-Introduction,2021-07-26T12:29:30Z
video_000195,Agapornis nigrigenis,Birds,alien,jaula,eCommerce,Post-Introduction,2017-11-29T20:50:10Z
video_012364,Amazona farinosa,Birds,alien,peligro,Threat,Post-Introduction,2014-04-26T18:13:37Z
video_003746,Amazona ochrocephala,Birds,alien,mascota,eCommerce,Post-Introduction,2020-06-14T06:46:39Z
video_008476,Amazona ochrocephala,Birds,alien,exotico,Invasion,Post-Introduction,2024-05-12T19:00:20Z
video_011901,Aratinga jandaya,Birds,alien,mascota,eCommerce,Post-Introduction,2015-07-29T09:16:19Z
video_002260,Balistoides conspicillum,Fishes,uncertain,aquario,eCommerce,Post-Introduction,2017-10-13T13:49:58Z
video_011025,Balistoides conspicillum,Fishes,uncertain,acuario,eCommerce,Post-Introduction,2025-04-14T04:00:49Z
video_006641,Belonochilus numenius,Insects,established,plaga,Invasion,Post-Introduction,2015-07-09T10:23:37Z
video_006641,Belonochilus numenius,Insects,established,ataca,Threat,Post-Introduction,2015-07-09T10:23:37Z
video_004411,Bemisia tabaci,Insects,alien,aparecer,Detection,Post-Introduction,2022-07-18T11:12:38Z
video_010057,Bemisia tabaci,Insects,alien,aparicion,Detection,Post-Introduction,2022-10-19T06:40:47Z
video_000661,Bemisia tabaci,Insects,alien,control,Detection,Post-Introduction,2019-01-18T23:44:12Z
video_000661,Bemisia tabaci,Insects,alien,plagas,Invasion,Post-Introduction,2019-01-18T23:44:12Z
video_009316,Bemisia tabaci,Insects,alien,plaga,Invasion,Post-Introduction,2020-07-14T07:07:36Z
video_014013,Bemisia tabaci,Insects,alien,aparecer,Detection,Post-Introduction,2023-08-08T19:30:09Z
video_005392,Bemisia tabaci,Insects,alien,trampas,Detection,Post-Introduction,2013-06-21T00:14:42Z
video_005392,Bemisia tabaci,Insects,alien,plagas,Invasion,Post-Introduction,2013-06-21T00:14:42Z
video_015872,Bemisia tabaci,Insects,alien,plagas,Invasion,Post-Introduction,2022-04-03T18:15:02Z
video_011745,Bemisia tabaci,Insects,alien,plaga,Invasion,Post-Introduction,2023-07-28T22:00:15Z
video_011745,Bemisia tabaci,Insects,alien,ataca,Threat,Post-Introduction,2023-07-28T22:00:15Z
video_004787,Bemisia tabaci,Insects,alien,plagas,Invasion,Post-Introduction,2020-09-02T06:27:41Z
video_013669,Bemisia tabaci,Insects,alien,plaga,Invasion,Post-Introduction,2023-03-16T19:50:16Z
video_013669,Bemisia tabaci,Insects,alien,plagas,Invasion,Post-Introduction,2023-03-16T19:50:16Z
video_013669,Bemisia tabaci,Insects,alien,descuento,eCommerce,Post-Introduction,2023-03-16T19:50:16Z
video_013574,Bemisia tabaci,Insects,alien,plagas,Invasion,Post-Introduction,2019-04-25T15:58:16Z
video_011247,Bemisia tabaci,Insects,alien,trampa,Detection,Post-Introduction,2025-06-17T07:06:08Z
video_011247,Bemisia tabaci,Insects,alien,trampas,Detection,Post-Introduction,2025-06-17T07:06:08Z
video_001642,Bemisia tabaci,Insects,alien,control,Detection,Post-Introduction,2016-10-13T19:01:12Z
video_012614,Bemisia tabaci,Insects,alien,plagas,Invasion,Post-Introduction,2022-10-14T07:47:25Z
video_006219,Bemisia tabaci,Insects,alien,trampa,Detection,Post-Introduction,2023-07-14T12:11:49Z
video_005419,Bemisia tabaci,Insects,alien,trampa,Detection,Post-Introduction,2012-03-29T17:16:03Z
video_005419,Bemisia tabaci,Insects,alien,plagas,Invasion,Post-Introduction,2012-03-29T17:16:03Z
video_001869,Bemisia tabaci,Insects,alien,controlar,Detection,Post-Introduction,2015-05-22T21:58:57Z
video_001869,Bemisia tabaci,Insects,alien,plagas,Invasion,Post-Introduction,2015-05-22T21:58:57Z
video_001869,Bemisia tabaci,Insects,alien,trampas,Detection,Post-Introduction,2015-05-22T21:58:57Z
video_013843,Bemisia tabaci,Insects,alien,control,Detection,Post-Introduction,2024-12-02T12:23:13Z
video_013843,Bemisia tabaci,Insects,alien,plaga,Invasion,Post-Introduction,2024-12-02T12:23:13Z
video_012696,Bemisia tabaci,Insects,alien,plagas,Invasion,Post-Introduction,2022-05-25T22:21:15Z
video_004946,Bemisia tabaci,Insects,alien,trampas,Detection,Post-Introduction,2023-06-21T05:13:31Z
video_004946,Bemisia tabaci,Insects,alien,plagas,Invasion,Post-Introduction,2023-06-21T05:13:31Z
video_000858,Bemisia tabaci,Insects,alien,control,Detection,Post-Introduction,2020-10-15T20:16:57Z
video_012096,Bemisia tabaci,Insects,alien,plagas,Invasion,Post-Introduction,2018-06-21T16:00:03Z
video_000905,Bemisia tabaci,Insects,alien,plaga,Invasion,Post-Introduction,2018-06-08T01:19:37Z
video_000930,Bemisia tabaci,Insects,alien,plagas,Invasion,Post-Introduction,2020-07-09T12:40:13Z
