video_id,created_at,viewCount,likeCount,commentCount,TaxonName,Region,LifeForm,PresentStatus,word,time_period,KeywordCategory,category,FirstRecord,FirstRecordDate,token_source,video_likeCount,comment_likeCount,comment_id,parent_id,is_reply
video_015544,2024-10-05T18:10:53Z,218,0,0,Acridotheres_cristatellus,Portugal,Birds,established,exotica,Post-Introduction,Invasion,Invasion,2007,2007-06-01T00:00:00Z,title_description,,,,,
video_008181,2019-08-21T19:36:28Z,96,5,0,Acridotheres_cristatellus,Portugal,Birds,established,exotica,Post-Introduction,Invasion,Invasion,2007,2007-06-01T00:00:00Z,title_description,,,,,
video_008181,2019-08-21T19:36:28Z,96,5,0,Acridotheres_cristatellus,Portugal,Birds,established,introduzida,Post-Introduction,Invasion,Invasion,2007,2007-06-01T00:00:00Z,title_description,,,,,
video_004480,2024-08-14T17:22:07Z,5,0,0,Acridotheres_cristatellus,Portugal,Birds,established,exotica,Post-Introduction,Invasion,Invasion,2007,2007-06-01T00:00:00Z,title_description,,,,,
video_012517,2024-08-14T17:24:40Z,8,0,0,Acridotheres_cristatellus,Portugal,Birds,established,exotica,Post-Introduction,Invasion,Invasion,2007,2007-06-01T00:00:00Z,title_description,,,,,
video_011966,2019-05-01T19:45:38Z,2451,23,2,Acridotheres_cristatellus,Portugal,Birds,established,exotica,Post-Introduction,Invasion,Invasion,2007,2007-06-01T00:00:00Z,title_description,,,,,
video_016293,2024-09-26T14:06:21Z,1789,17,1,Aedes_aegypti,Madeira,Insects,established,peligro,Post-Introduction,Threat,Threat,2006,2006-06-01T00:00:00Z,title_description,,,,,
video_002322,2013-04-04T17:41:01Z,5847,52,0,Aedes_aegypti,Madeira,Insects,established,introducao,Post-Introduction,Invasion,Invasion,2006,2006-06-01T00:00:00Z,title_description,,,,,
video_002322,2013-04-04T17:41:01Z,5847,52,0,Aedes_aegypti,Madeira,Insects,established,vetor,Post-Introduction,Threat,Threat,2006,2006-06-01T00:00:00Z,title_description,,,,,
video_002322,2013-04-04T17:41:01Z,5847,52,0,Aedes_aegypti,Madeira,Insects,established,introducao,Post-Introduction,Invasion,Invasion,2006,2006-06-01T00:00:00Z,title_description,,,,,
video_002322,2013-04-04T17:41:01Z,5847,52,0,Aedes_aegypti,Madeira,Insects,established,vetor,Post-Introduction,Threat,Threat,2006,2006-06-01T00:00:00Z,title_description,,,,,
video_002027,2013-04-04T19:55:13Z,47975,517,14,Aedes_aegypti,Madeira,Insects,established,introducao,Post-Introduction,Invasion,Invasion,2006,2006-06-01T00:00:00Z,title_description,,,,,
video_002027,2013-04-04T19:55:13Z,47975,517,14,Aedes_aegypti,Madeira,Insects,established,vetor,Post-Introduction,Threat,Threat,2006,2006-06-01T00:00:00Z,title_description,,,,,
video_005528,2020-10-03T13:00:03Z,60183,1618,147,Agapornis_fischeri,Portugal,Birds,alien,tienda,Post-Introduction,eCommerce,eCommerce,2008,2008-06-01T00:00:00Z,title_description,,,,,
video_009822,2021-07-26T12:29:30Z,3150,117,24,Agapornis_fischeri,Portugal,Birds,alien,vista,Post-Introduction,Detection,Detection,2008,2008-06-01T00:00:00Z,title_description,,,,,
video_000195,2017-11-29T20:50:10Z,54,0,0,Agapornis_nigrigenis,Spain,Birds,alien,jaula,Post-Introduction,eCommerce,eCommerce,2006,2006-06-01T00:00:00Z,title_description,,,,,
video_012364,2014-04-26T18:13:37Z,199,1,0,Amazona_farinosa,Spain,Birds,alien,peligro,Post-Introduction,Threat,Threat,2007,2007-06-01T00:00:00Z,title_description,,,,,
video_003746,2020-06-14T06:46:39Z,3114,19,3,Amazona_ochrocephala,Portugal,Birds,alien,mascota,Post-Introduction,eCommerce,eCommerce,2007,2007-06-01T00:00:00Z,title_description,,,,,
video_003746,2020-06-14T06:46:39Z,3114,19,3,Amazona_ochrocephala,Portugal,Birds,alien,mascota,Post-Introduction,eCommerce,eCommerce,2007,2007-06-01T00:00:00Z,title_description,,,,,
video_008476,2024-05-12T19:00:20Z,903,29,11,Amazona_ochrocephala,Portugal,Birds,alien,exotico,Post-Introduction,Invasion,Invasion,2007,2007-06-01T00:00:00Z,title_description,,,,,
video_011901,2015-07-29T09:16:19Z,51178,707,54,Aratinga_jandaya,Spain,Birds,alien,mascota,Post-Introduction,eCommerce,eCommerce,2008,2008-06-01T00:00:00Z,title_description,,,,,
video_002260,2017-10-13T13:49:58Z,1381,14,2,Balistoides_conspicillum,Spain,Fishes,uncertain,aquario,Post-Introduction,eCommerce,eCommerce,2012,2012-06-01T00:00:00Z,title_description,,,,,
video_011025,2025-04-14T04:00:49Z,1023,12,0,Balistoides_conspicillum,Spain,Fishes,uncertain,acuario,Post-Introduction,eCommerce,eCommerce,2012,2012-06-01T00:00:00Z,title_description,,,,,
video_011025,2025-04-14T04:00:49Z,1023,12,0,Balistoides_conspicillum,Spain,Fishes,uncertain,acuario,Post-Introduction,eCommerce,eCommerce,2012,2012-06-01T00:00:00Z,title_description,,,,,
