video_id,created_at,viewCount,video_likeCount,comment_likeCount,commentCount,TaxonName,Region,LifeForm,PresentStatus,word,time_period,KeywordCategory,category,FirstRecord,FirstRecordDate,token_source,comment_id,parent_id,is_reply
video_001995,2024-01-12T21:35:06Z,229,4,0,1,Acridotheres_cristatellus,Portugal,Birds,established,visto,Post-Introduction,Detection,Detection,2007,2007-06-01T12:00:00Z,comment,comment_005211,comment_000001,FALSE
video_010941,2020-10-10T09:21:26Z,19,2,1,1,Aedes_aegypti,Madeira,Insects,established,transmisor,Post-Introduction,Threat,Threat,2006,2006-06-01T12:00:00Z,comment,comment_008919,comment_000001,FALSE
video_010941,2020-10-10T09:21:26Z,19,2,1,1,Aedes_aegypti,Madeira,Insects,established,alerta,Post-Introduction,Detection,Detection,2006,2006-06-01T12:00:00Z,comment,comment_008919,comment_000001,FALSE
video_010941,2020-10-10T09:21:26Z,19,2,1,1,Aedes_aegypti,Madeira,Insects,established,controlar,Post-Introduction,Detection,Detection,2006,2006-06-01T12:00:00Z,comment,comment_008919,comment_000001,FALSE
video_010941,2020-10-10T09:21:26Z,19,2,1,1,Aedes_aegypti,Madeira,Insects,established,propagando,Post-Introduction,Invasion,Invasion,2006,2006-06-01T12:00:00Z,comment,comment_008919,comment_000001,FALSE
video_010941,2020-10-10T09:21:26Z,19,2,1,1,Aedes_aegypti,Madeira,Insects,established,deteccion,Post-Introduction,Detection,Detection,2006,2006-06-01T12:00:00Z,comment,comment_008919,comment_000001,FALSE
video_002027,2018-04-09T19:44:26Z,47975,517,1,14,Aedes_aegypti,Madeira,Insects,established,armadilhas,Post-Introduction,Detection,Detection,2006,2006-06-01T12:00:00Z,comment,comment_003321,comment_000001,FALSE
video_002027,2018-04-09T19:44:26Z,47975,517,1,14,Aedes_aegypti,Madeira,Insects,established,pragas,Post-Introduction,Invasion,Invasion,2006,2006-06-01T12:00:00Z,comment,comment_003321,comment_000001,FALSE
video_012821,2025-09-25T23:37:11Z,640,25,0,2,Agapornis_fischeri,Portugal,Birds,alien,visto,Post-Introduction,Detection,Detection,2008,2008-06-01T12:00:00Z,comment,comment_002561,comment_002558,TRUE
video_005528,2022-04-29T20:31:29Z,60183,1618,0,147,Agapornis_fischeri,Portugal,Birds,alien,precio,Post-Introduction,eCommerce,eCommerce,2008,2008-06-01T12:00:00Z,comment,comment_003143,comment_000001,FALSE
video_005528,2021-11-07T04:48:25Z,60183,1618,0,147,Agapornis_fischeri,Portugal,Birds,alien,compre,Post-Introduction,eCommerce,eCommerce,2008,2008-06-01T12:00:00Z,comment,comment_001798,comment_000001,FALSE
video_005528,2020-12-18T09:10:00Z,60183,1618,2,147,Agapornis_fischeri,Portugal,Birds,alien,adoptar,Post-Introduction,eCommerce,eCommerce,2008,2008-06-01T12:00:00Z,comment,comment_006738,comment_000001,FALSE
video_005528,2020-12-18T09:10:00Z,60183,1618,2,147,Agapornis_fischeri,Portugal,Birds,alien,visto,Post-Introduction,Detection,Detection,2008,2008-06-01T12:00:00Z,comment,comment_006738,comment_000001,FALSE
video_005528,2020-10-03T17:59:25Z,60183,1618,3,147,Agapornis_fischeri,Portugal,Birds,alien,cara,Post-Introduction,eCommerce,eCommerce,2008,2008-06-01T12:00:00Z,comment,comment_011602,comment_000001,FALSE
video_005528,2020-10-03T13:34:26Z,60183,1618,7,147,Agapornis_fischeri,Portugal,Birds,alien,precios,Post-Introduction,eCommerce,eCommerce,2008,2008-06-01T12:00:00Z,comment,comment_010848,comment_000001,FALSE
video_005528,2020-10-03T21:44:16Z,60183,1618,1,147,Agapornis_fischeri,Portugal,Birds,alien,reciente,Post-Introduction,Detection,Detection,2008,2008-06-01T12:00:00Z,comment,comment_007586,comment_007583,TRUE
video_002115,2022-03-07T05:22:48Z,503,32,2,21,Agapornis_fischeri,Portugal,Birds,alien,encontre,Post-Introduction,Detection,Detection,2008,2008-06-01T12:00:00Z,comment,comment_011928,comment_000001,FALSE
video_014788,2020-04-11T11:05:09Z,24018,115,1,9,Agapornis_nigrigenis,Spain,Birds,alien,hibridacion,Post-Introduction,Threat,Threat,2006,2006-06-01T12:00:00Z,comment,comment_009250,comment_009249,TRUE
video_014788,2020-03-04T16:22:32Z,24018,115,0,9,Agapornis_nigrigenis,Spain,Birds,alien,vender,Post-Introduction,eCommerce,eCommerce,2006,2006-06-01T12:00:00Z,comment,comment_008590,comment_008589,TRUE
video_014788,2020-03-04T16:22:32Z,24018,115,0,9,Agapornis_nigrigenis,Spain,Birds,alien,pajareria,Post-Introduction,eCommerce,eCommerce,2006,2006-06-01T12:00:00Z,comment,comment_008590,comment_008589,TRUE
video_014788,2020-02-01T23:24:55Z,24018,115,0,9,Agapornis_nigrigenis,Spain,Birds,alien,controlar,Post-Introduction,Detection,Detection,2006,2006-06-01T12:00:00Z,comment,comment_014030,comment_014029,TRUE
video_008139,2019-10-17T22:42:29Z,429,8,0,2,Agapornis_nigrigenis,Spain,Birds,alien,toxica,Post-Introduction,Threat,Threat,2006,2006-06-01T12:00:00Z,comment,comment_011263,comment_000001,FALSE
video_008139,2019-10-17T22:42:29Z,429,8,0,2,Agapornis_nigrigenis,Spain,Birds,alien,peligrosa,Post-Introduction,Threat,Threat,2006,2006-06-01T12:00:00Z,comment,comment_011263,comment_000001,FALSE
video_001543,2019-04-08T19:34:01Z,198150,790,1,38,Agapornis_nigrigenis,Spain,Birds,alien,compre,Post-Introduction,eCommerce,eCommerce,2006,2006-06-01T12:00:00Z,comment,comment_010524,comment_000001,FALSE
video_001543,2018-03-12T15:21:02Z,198150,790,1,38,Agapornis_nigrigenis,Spain,Birds,alien,jaula,Post-Introduction,eCommerce,eCommerce,2006,2006-06-01T12:00:00Z,comment,comment_005786,comment_000001,FALSE
video_001543,2019-04-09T08:39:08Z,198150,790,1,38,Agapornis_nigrigenis,Spain,Birds,alien,tienda,Post-Introduction,eCommerce,eCommerce,2006,2006-06-01T12:00:00Z,comment,comment_010525,comment_010524,TRUE
video_001543,2019-04-09T08:39:08Z,198150,790,1,38,Agapornis_nigrigenis,Spain,Birds,alien,jaula,Post-Introduction,eCommerce,eCommerce,2006,2006-06-01T12:00:00Z,comment,comment_010525,comment_010524,TRUE
video_016157,2021-06-10T20:55:57Z,2803,121,1,25,Agapornis_nigrigenis,Spain,Birds,alien,comprar,Post-Introduction,eCommerce,eCommerce,2006,2006-06-01T12:00:00Z,comment,comment_011588,comment_000001,FALSE
video_016157,2021-06-10T17:47:57Z,2803,121,2,25,Agapornis_nigrigenis,Spain,Birds,alien,cara,Post-Introduction,eCommerce,eCommerce,2006,2006-06-01T12:00:00Z,comment,comment_007614,comment_000001,FALSE
