TaxonName,LifeForm,PresentStatus,time_period_pm,KeywordCategory,n_cat,n_tot,n_other,prop
Psittacus_erithacus,Birds,casual,Post-Introduction,Invasion,0,4,4,0
Psittacus_erithacus,Birds,casual,Post-Introduction,Detection,0,4,4,0
Psittacus_erithacus,Birds,casual,Post-Introduction,eCommerce,4,4,0,1
Psittacus_erithacus,Birds,casual,Post-Introduction,Threat,0,4,4,0
Psittacus_erithacus,Birds,casual,Pre-Introduction,Invasion,0,6,6,0
Psittacus_erithacus,Birds,casual,Pre-Introduction,Detection,1,6,5,0.16666666666666666
Psittacus_erithacus,Birds,casual,Pre-Introduction,eCommerce,5,6,1,0.8333333333333334
Psittacus_erithacus,Birds,casual,Pre-Introduction,Threat,0,6,6,0
Xylella_fastidiosa,"Bacteria, Viruses, Fungi",alien,Post-Introduction,Invasion,4,24,20,0.16666666666666666
Xylella_fastidiosa,"Bacteria, Viruses, Fungi",alien,Post-Introduction,Detection,15,24,9,0.625
Xylella_fastidiosa,"Bacteria, Viruses, Fungi",alien,Post-Introduction,eCommerce,1,24,23,0.041666666666666664
Xylella_fastidiosa,"Bacteria, Viruses, Fungi",alien,Post-Introduction,Threat,4,24,20,0.16666666666666666
Xylella_fastidiosa,"Bacteria, Viruses, Fungi",alien,Pre-Introduction,Invasion,0,3,3,0
Xylella_fastidiosa,"Bacteria, Viruses, Fungi",alien,Pre-Introduction,Detection,0,3,3,0
Xylella_fastidiosa,"Bacteria, Viruses, Fungi",alien,Pre-Introduction,eCommerce,0,3,3,0
Xylella_fastidiosa,"Bacteria, Viruses, Fungi",alien,Pre-Introduction,Threat,3,3,0,1
