TaxonName,LifeForm,PresentStatus,time_period_pm,KeywordCategory,n_cat,n_tot,n_other,prop
Bursaphelenchus_xylophilus,Non-arthropod invertebrates,established,Post-Introduction,Invasion,1,1,0,1
Bursaphelenchus_xylophilus,Non-arthropod invertebrates,established,Post-Introduction,Detection,0,1,1,0
Bursaphelenchus_xylophilus,Non-arthropod invertebrates,established,Post-Introduction,eCommerce,0,1,1,0
Bursaphelenchus_xylophilus,Non-arthropod invertebrates,established,Post-Introduction,Threat,0,1,1,0
Cherax_quadricarinatus,Crustaceans,alien,Post-Introduction,Invasion,0,3,3,0
Cherax_quadricarinatus,Crustaceans,alien,Post-Introduction,Detection,1,3,2,0.3333333333333333
Cherax_quadricarinatus,Crustaceans,alien,Post-Introduction,eCommerce,2,3,1,0.6666666666666666
Cherax_quadricarinatus,Crustaceans,alien,Post-Introduction,Threat,0,3,3,0
Cydalima_perspectalis,Insects,established,Post-Introduction,Invasion,2,2,0,1
Cydalima_perspectalis,Insects,established,Post-Introduction,Detection,0,2,2,0
Cydalima_perspectalis,Insects,established,Post-Introduction,eCommerce,0,2,2,0
Cydalima_perspectalis,Insects,established,Post-Introduction,Threat,0,2,2,0
Dryocosmus_kuriphilus,Insects,alien,Post-Introduction,Invasion,4,5,1,0.8
Dryocosmus_kuriphilus,Insects,alien,Post-Introduction,Detection,0,5,5,0
Dryocosmus_kuriphilus,Insects,alien,Post-Introduction,eCommerce,0,5,5,0
Dryocosmus_kuriphilus,Insects,alien,Post-Introduction,Threat,1,5,4,0.2
Eupsittula_pertinax,Birds,alien,Post-Introduction,Invasion,0,1,1,0
Eupsittula_pertinax,Birds,alien,Post-Introduction,Detection,0,1,1,0
Eupsittula_pertinax,Birds,alien,Post-Introduction,eCommerce,1,1,0,1
Eupsittula_pertinax,Birds,alien,Post-Introduction,Threat,0,1,1,0
Graptemys_pseudogeographica,Herptiles,established,Post-Introduction,Invasion,0,2,2,0
Graptemys_pseudogeographica,Herptiles,established,Post-Introduction,Detection,0,2,2,0
Graptemys_pseudogeographica,Herptiles,established,Post-Introduction,eCommerce,2,2,0,1
Graptemys_pseudogeographica,Herptiles,established,Post-Introduction,Threat,0,2,2,0
Leuciscus_aspius,Fishes,established,Post-Introduction,Invasion,0,1,1,0
Leuciscus_aspius,Fishes,established,Post-Introduction,Detection,1,1,0,1
Leuciscus_aspius,Fishes,established,Post-Introduction,eCommerce,0,1,1,0
Leuciscus_aspius,Fishes,established,Post-Introduction,Threat,0,1,1,0
Leuciscus_aspius,Fishes,established,Pre-Introduction,Invasion,0,1,1,0
Leuciscus_aspius,Fishes,established,Pre-Introduction,Detection,1,1,0,1
Leuciscus_aspius,Fishes,established,Pre-Introduction,eCommerce,0,1,1,0
Leuciscus_aspius,Fishes,established,Pre-Introduction,Threat,0,1,1,0
Mauremys_reevesii,Herptiles,alien,Post-Introduction,Invasion,0,2,2,0
Mauremys_reevesii,Herptiles,alien,Post-Introduction,Detection,0,2,2,0
Mauremys_reevesii,Herptiles,alien,Post-Introduction,eCommerce,2,2,0,1
Mauremys_reevesii,Herptiles,alien,Post-Introduction,Threat,0,2,2,0
Platycerium_bifurcatum,Plants,established,Post-Introduction,Invasion,1,1,0,1
Platycerium_bifurcatum,Plants,established,Post-Introduction,Detection,0,1,1,0
Platycerium_bifurcatum,Plants,established,Post-Introduction,eCommerce,0,1,1,0
Platycerium_bifurcatum,Plants,established,Post-Introduction,Threat,0,1,1,0
Pomacea_maculata,Non-arthropod invertebrates,established,Post-Introduction,Invasion,0,1,1,0
Pomacea_maculata,Non-arthropod invertebrates,established,Post-Introduction,Detection,0,1,1,0
Pomacea_maculata,Non-arthropod invertebrates,established,Post-Introduction,eCommerce,1,1,0,1
Pomacea_maculata,Non-arthropod invertebrates,established,Post-Introduction,Threat,0,1,1,0
Pseudemys_peninsularis,Herptiles,alien,Post-Introduction,Invasion,1,1,0,1
Pseudemys_peninsularis,Herptiles,alien,Post-Introduction,Detection,0,1,1,0
