LifeForm,time_period,PresentStatus,KeywordCategory,n,obs_prop,pred_prop
Birds,Post-Introduction,established,Invasion,8,0.8888888888888888,0.27724257973855415
Birds,Post-Introduction,established,Threat,1,0.1111111111111111,0.1285930989052524
Birds,Post-Introduction,present,Invasion,1,0.058823529411764705,0.38263046984167126
Birds,Post-Introduction,present,Detection,6,0.35294117647058826,0.21055963823978846
Birds,Post-Introduction,present,eCommerce,9,0.5294117647058824,0.35724408003283903
Birds,Post-Introduction,present,Threat,1,0.058823529411764705,0.04956581188570112
Herptiles,Pre-Introduction,established,eCommerce,4,1,0.9443752304029759
Herptiles,Pre-Introduction,present,eCommerce,2,1,0.9310955088106815
Herptiles,Post-Introduction,established,Invasion,2,0.2222222222222222,0.2440891792382968
Herptiles,Post-Introduction,established,eCommerce,7,0.7777777777777778,0.7559108206359927
Herptiles,Post-Introduction,present,Invasion,2,0.4,0.28861189486412187
Herptiles,Post-Introduction,present,eCommerce,3,0.6,0.711388105092745
Fishes,Pre-Introduction,established,Detection,1,1,0.9999976893262125
Fishes,Post-Introduction,established,Detection,6,1,0.9999999999956843
Insects,Pre-Introduction,present,Invasion,1,1,0.4095691222317124
Insects,Post-Introduction,established,Invasion,84,0.2978723404255319,0.31629509039252274
Insects,Post-Introduction,established,Detection,144,0.5106382978723404,0.5026215316905861
Insects,Post-Introduction,established,eCommerce,8,0.028368794326241134,0.02341343740942139
Insects,Post-Introduction,established,Threat,46,0.16312056737588654,0.15766994050746974
Insects,Post-Introduction,present,Invasion,77,0.506578947368421,0.47628526075123645
Insects,Post-Introduction,present,Detection,63,0.4144736842105263,0.42934488457140557
Insects,Post-Introduction,present,eCommerce,3,0.019736842105263157,0.028061456429928144
Insects,Post-Introduction,present,Threat,9,0.05921052631578947,0.06630839824742982
Crustaceans,Pre-Introduction,present,eCommerce,2,1,0.9999999166847348
Crustaceans,Post-Introduction,present,Detection,1,0.125,0.12498848142295071
Crustaceans,Post-Introduction,present,eCommerce,7,0.875,0.8750113523589631
Non-arthropod invertebrates,Post-Introduction,established,Invasion,6,0.42857142857142855,0.413444925875568
Non-arthropod invertebrates,Post-Introduction,established,Detection,4,0.2857142857142857,0.25538298287161276
Non-arthropod invertebrates,Post-Introduction,established,eCommerce,1,0.07142857142857142,0.06123658005974672
Non-arthropod invertebrates,Post-Introduction,established,Threat,3,0.21428571428571427,0.2699355111930724
Non-arthropod invertebrates,Post-Introduction,present,Invasion,1,0.5,0.6058295888410973
Non-arthropod invertebrates,Post-Introduction,present,Threat,1,0.5,0.11046832733198521
Plants,Post-Introduction,established,Invasion,1,0.5,0.5509893580401776
Plants,Post-Introduction,established,eCommerce,1,0.5,0.01645581089424751
Plants,Post-Introduction,present,Invasion,167,0.7625570776255708,0.7620913763250423
Plants,Post-Introduction,present,Detection,23,0.1050228310502283,0.10381344234107431
Plants,Post-Introduction,present,eCommerce,3,0.0136986301369863,0.018115630848225654
Plants,Post-Introduction,present,Threat,26,0.1187214611872146,0.11597955048565767
"Bacteria, Viruses, Fungi",Pre-Introduction,present,Threat,3,1,0.8473259492051699
"Bacteria, Viruses, Fungi",Post-Introduction,present,Invasion,10,0.1694915254237288,0.16559717427946702
"Bacteria, Viruses, Fungi",Post-Introduction,present,Detection,34,0.576271186440678,0.5762690324081453
"Bacteria, Viruses, Fungi",Post-Introduction,present,eCommerce,2,0.03389830508474576,0.030030345553031898
"Bacteria, Viruses, Fungi",Post-Introduction,present,Threat,13,0.22033898305084745,0.22810344775935573
