LifeForm,KeywordCategory,Pre-Introduction,Post-Introduction,delta,period_strip,x_idx,x_pos
Birds,Invasion,0,0.23929044986785716,0.23929044986785716,Δ (Post - Pre),1,0.6699999999999999
Birds,Detection,0,0.256830542707456,0.256830542707456,Δ (Post - Pre),1,0.89
Birds,eCommerce,0,0.419764457963347,0.419764457963347,Δ (Post - Pre),1,1.11
Birds,Threat,0,0.08411454946133991,0.08411454946133991,Δ (Post - Pre),1,1.33
Herptiles,Invasion,0.06522882883162831,0.23732326839541973,0.17209443956379142,Δ (Post - Pre),2,1.67
Herptiles,Detection,4.67563623064302e-18,5.057241819210215e-12,5.057237143573985e-12,Δ (Post - Pre),2,1.89
Herptiles,eCommerce,0.9347711711582114,0.7626767315905726,-0.1720944395676388,Δ (Post - Pre),2,2.11
Herptiles,Threat,1.016022451581681e-11,8.950503493091291e-12,-1.2097210227255195e-12,Δ (Post - Pre),2,2.33
Fishes,Invasion,8.052941702278714e-6,2.691946673219464e-11,-8.052914782811982e-6,Δ (Post - Pre),3,2.67
Fishes,Detection,0.9999919470580623,0.9999999999730804,8.052915018152973e-6,Δ (Post - Pre),3,2.89
Fishes,eCommerce,2.352040287117345e-13,1.7696044017540944e-19,-2.3520385175129433e-13,Δ (Post - Pre),3,3.11
Fishes,Threat,1.5688558011342679e-16,1.286879572389565e-22,-1.5688545142546954e-16,Δ (Post - Pre),3,3.33
Insects,Invasion,0.560175039300474,0.37152450475379084,-0.18865053454668312,Δ (Post - Pre),4,3.67
Insects,Detection,1.697130494938294e-6,0.4721231871565651,0.4721214900260702,Δ (Post - Pre),4,3.89
Insects,eCommerce,0.1395102932411072,0.024957705708341077,-0.11455258753276612,Δ (Post - Pre),4,4.11
Insects,Threat,0.300312970327924,0.131394602381303,-0.168918367946621,Δ (Post - Pre),4,4.33
Crustaceans,Invasion,7.684028821009021e-13,2.838911178847828e-12,2.070508296746926e-12,Δ (Post - Pre),5,4.67
Crustaceans,Detection,1.5242162865724438e-7,0.1684616374587251,0.16846148503709646,Δ (Post - Pre),5,4.89
Crustaceans,eCommerce,0.999999847577603,0.8315383625384359,-0.16846148503916702,Δ (Post - Pre),5,5.11
Crustaceans,Threat,7.813722390785759e-23,7.08375902614062e-23,-7.29963364645139e-24,Δ (Post - Pre),5,5.33
Non-arthropod invertebrates,Invasion,0,0.42351542905539175,0.42351542905539175,Δ (Post - Pre),6,5.67
Non-arthropod invertebrates,Detection,0,0.24656305983093305,0.24656305983093305,Δ (Post - Pre),6,5.89
Non-arthropod invertebrates,eCommerce,0,0.09075780176260108,0.09075780176260108,Δ (Post - Pre),6,6.11
Non-arthropod invertebrates,Threat,0,0.23916370935107412,0.23916370935107412,Δ (Post - Pre),6,6.33
Plants,Invasion,0,0.7412598198320434,0.7412598198320434,Δ (Post - Pre),7,6.67
Plants,Detection,0,0.10926330262667723,0.10926330262667723,Δ (Post - Pre),7,6.89
Plants,eCommerce,0,0.020232017597672413,0.020232017597672413,Δ (Post - Pre),7,7.11
Plants,Threat,0,0.1292448599436071,0.1292448599436071,Δ (Post - Pre),7,7.33
"Bacteria, Viruses, Fungi",Invasion,0.11421340635003542,0.1551217998990264,0.04090839354899099,Δ (Post - Pre),8,7.67
"Bacteria, Viruses, Fungi",Detection,1.3576297488028403e-6,0.5516056384835073,0.5516042808537585,Δ (Post - Pre),8,7.89
"Bacteria, Viruses, Fungi",eCommerce,0.07013641764951241,0.021439708041182885,-0.04869670960832952,Δ (Post - Pre),8,8.11
"Bacteria, Viruses, Fungi",Threat,0.8156488183707034,0.2718328535762834,-0.54381596479442,Δ (Post - Pre),8,8.33
