LifeForm,time_period,KeywordCategory,prob,time_period_plot
Birds,Pre-Introduction,Invasion,0,Pre-Introduction
Birds,Pre-Introduction,Detection,0,Pre-Introduction
Birds,Pre-Introduction,eCommerce,0,Pre-Introduction
Birds,Pre-Introduction,Threat,0,Pre-Introduction
Birds,Post-Introduction,Invasion,0.23929044986785716,Post-Introduction
Birds,Post-Introduction,Detection,0.256830542707456,Post-Introduction
Birds,Post-Introduction,eCommerce,0.419764457963347,Post-Introduction
Birds,Post-Introduction,Threat,0.08411454946133991,Post-Introduction
Herptiles,Pre-Introduction,Invasion,0.06522882883162831,Pre-Introduction
Herptiles,Pre-Introduction,Detection,4.67563623064302e-18,Pre-Introduction
Herptiles,Pre-Introduction,eCommerce,0.9347711711582114,Pre-Introduction
Herptiles,Pre-Introduction,Threat,1.016022451581681e-11,Pre-Introduction
Herptiles,Post-Introduction,Invasion,0.23732326839541973,Post-Introduction
Herptiles,Post-Introduction,Detection,5.057241819210215e-12,Post-Introduction
Herptiles,Post-Introduction,eCommerce,0.7626767315905726,Post-Introduction
Herptiles,Post-Introduction,Threat,8.950503493091291e-12,Post-Introduction
Fishes,Pre-Introduction,Invasion,8.052941702278714e-6,Pre-Introduction
Fishes,Pre-Introduction,Detection,0.9999919470580623,Pre-Introduction
Fishes,Pre-Introduction,eCommerce,2.352040287117345e-13,Pre-Introduction
Fishes,Pre-Introduction,Threat,1.5688558011342679e-16,Pre-Introduction
Fishes,Post-Introduction,Invasion,2.691946673219464e-11,Post-Introduction
Fishes,Post-Introduction,Detection,0.9999999999730804,Post-Introduction
Fishes,Post-Introduction,eCommerce,1.7696044017540944e-19,Post-Introduction
Fishes,Post-Introduction,Threat,1.286879572389565e-22,Post-Introduction
Insects,Pre-Introduction,Invasion,0.560175039300474,Pre-Introduction
Insects,Pre-Introduction,Detection,1.697130494938294e-6,Pre-Introduction
Insects,Pre-Introduction,eCommerce,0.1395102932411072,Pre-Introduction
Insects,Pre-Introduction,Threat,0.300312970327924,Pre-Introduction
Insects,Post-Introduction,Invasion,0.37152450475379084,Post-Introduction
Insects,Post-Introduction,Detection,0.4721231871565651,Post-Introduction
Insects,Post-Introduction,eCommerce,0.024957705708341077,Post-Introduction
Insects,Post-Introduction,Threat,0.131394602381303,Post-Introduction
Crustaceans,Pre-Introduction,Invasion,7.684028821009021e-13,Pre-Introduction
Crustaceans,Pre-Introduction,Detection,1.5242162865724438e-7,Pre-Introduction
Crustaceans,Pre-Introduction,eCommerce,0.999999847577603,Pre-Introduction
Crustaceans,Pre-Introduction,Threat,7.813722390785759e-23,Pre-Introduction
Crustaceans,Post-Introduction,Invasion,2.838911178847828e-12,Post-Introduction
Crustaceans,Post-Introduction,Detection,0.1684616374587251,Post-Introduction
Crustaceans,Post-Introduction,eCommerce,0.8315383625384359,Post-Introduction
Crustaceans,Post-Introduction,Threat,7.08375902614062e-23,Post-Introduction
Non-arthropod invertebrates,Pre-Introduction,Invasion,0,Pre-Introduction
Non-arthropod invertebrates,Pre-Introduction,Detection,0,Pre-Introduction
Non-arthropod invertebrates,Pre-Introduction,eCommerce,0,Pre-Introduction
Non-arthropod invertebrates,Pre-Introduction,Threat,0,Pre-Introduction
Non-arthropod invertebrates,Post-Introduction,Invasion,0.42351542905539175,Post-Introduction
Non-arthropod invertebrates,Post-Introduction,Detection,0.24656305983093305,Post-Introduction
Non-arthropod invertebrates,Post-Introduction,eCommerce,0.09075780176260108,Post-Introduction
Non-arthropod invertebrates,Post-Introduction,Threat,0.23916370935107412,Post-Introduction
Plants,Pre-Introduction,Invasion,0,Pre-Introduction
Plants,Pre-Introduction,Detection,0,Pre-Introduction
Plants,Pre-Introduction,eCommerce,0,Pre-Introduction
Plants,Pre-Introduction,Threat,0,Pre-Introduction
Plants,Post-Introduction,Invasion,0.7412598198320434,Post-Introduction
Plants,Post-Introduction,Detection,0.10926330262667723,Post-Introduction
Plants,Post-Introduction,eCommerce,0.020232017597672413,Post-Introduction
Plants,Post-Introduction,Threat,0.1292448599436071,Post-Introduction
"Bacteria, Viruses, Fungi",Pre-Introduction,Invasion,0.11421340635003542,Pre-Introduction
"Bacteria, Viruses, Fungi",Pre-Introduction,Detection,1.3576297488028403e-6,Pre-Introduction
"Bacteria, Viruses, Fungi",Pre-Introduction,eCommerce,0.07013641764951241,Pre-Introduction
"Bacteria, Viruses, Fungi",Pre-Introduction,Threat,0.8156488183707034,Pre-Introduction
"Bacteria, Viruses, Fungi",Post-Introduction,Invasion,0.1551217998990264,Post-Introduction
"Bacteria, Viruses, Fungi",Post-Introduction,Detection,0.5516056384835073,Post-Introduction
"Bacteria, Viruses, Fungi",Post-Introduction,eCommerce,0.021439708041182885,Post-Introduction
"Bacteria, Viruses, Fungi",Post-Introduction,Threat,0.2718328535762834,Post-Introduction
